treatment,reference_level,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl,cluster
CX5461 (2.5h),Unperturbed,7,0.05746376947657585,unnormalised,NA,1.093200781932224,1.01225052438285,1.1806246782098222,0.1285583968886299,0.01756639038344058,0.2395504033938191,all
CX5461 (2.5h),Unperturbed,7,0.12878212036064668,unnormalised,NA,1.3974207069818771,0.9547646806252107,2.0453046409540234,0.48276642339797965,-0.0667828967430485,1.0323157435390078,Cajal bodies
CX5461 (2.5h),Unperturbed,7,0.07420017177873839,unnormalised,NA,2.0449448907208274,1.047855303139648,3.9908178100119875,1.032061964460392,0.06743951090643882,1.9966844180143453,Nuclear periphery
CX5461 (2.5h),Unperturbed,7,0.18271756054919452,unnormalised,NA,1.0781543331626384,0.9758148524711221,1.1912267610743028,0.10856370847216233,-0.03532065279644761,0.2524480697407721,Nuclear speckles
CX5461 (2.5h),Unperturbed,7,1.6017848168473335e-7,unnormalised,NA,0.4648197488070249,0.43212311822801697,0.49999037257483514,-1.1052567290263962,-1.210485678908266,-1.0000277791445262,Nucleolus
CX5461 (2.5h),Unperturbed,7,0.538861552720339,unnormalised,NA,1.0440341331012413,0.9160851427350843,1.1898536721446114,0.062168879389511156,-0.12644640345025768,0.2507841622292802,Nucleoplasm
CX5461 (2.5h),Unperturbed,7,0.32824620364262874,unnormalised,NA,1.119889418241811,0.9066872512009468,1.3832248191742,0.16335628261283566,-0.141323095346555,0.46803566057222645,PML bodies
CX5461 (2.5h),Unperturbed,7,0.11728862859359339,relative_to_all,NA,1.3902593923153677,0.9683850252189018,1.995922208198319,0.47535408373569193,-0.04634732473005311,0.9970554922014369,Cajal bodies
CX5461 (2.5h),Unperturbed,7,0.08364453006487917,relative_to_all,NA,2.034384918640597,1.0198735910940047,4.0580735037493785,1.0245926721529122,0.028390347487662122,2.0207949968181618,Nuclear periphery
CX5461 (2.5h),Unperturbed,7,0.18114459679693404,relative_to_all,NA,1.074671432801435,0.9772247504429513,1.1818352819614875,0.10389564146706934,-0.03323769128105002,0.24102897421518896,Nuclear speckles
CX5461 (2.5h),Unperturbed,7,4.363605549127205e-7,relative_to_all,NA,0.46218186819032286,0.42452045436937585,0.5031844215874527,-1.113467432193482,-1.2360940270776328,-0.9908408373093311,Nucleolus
CX5461 (2.5h),Unperturbed,7,0.48026177873332865,relative_to_all,NA,1.0383729792319092,0.9404981816095854,1.1464333106457136,0.054324746813200535,-0.08850294049069371,0.1971524341170944,Nucleoplasm
CX5461 (2.5h),Unperturbed,7,0.37867055773470226,relative_to_all,NA,1.1141016025217252,0.8893020097407498,1.3957264991488307,0.15588080787556627,-0.16925464887729794,0.4810162646284304,PML bodies
