EU_bin,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
upper - lower,all,2246,2.3675485931761125e-4,unnormalised,01_CDK9_pT186,NA,1.0478966786740165,1.0221228988724582,1.0743203683112625,0.0674964759278471,0.031568674684428165,0.10342427717126569
upper - lower,Cajal bodies,2246,1.2765800505221085e-25,unnormalised,01_CDK9_pT186,NA,1.183077419009092,1.1468431784795912,1.2204564718471862,0.2425444848069655,0.19766812797298586,0.2874208416409451
upper - lower,Cajal bodies - all,2246,1.719341955187092e-15,relative_to_all,01_CDK9_pT186,2246,1.1290019742272017,1.0960057611799805,1.162991567158015,0.17504800887911864,0.13225538187867908,0.21784063587955788
upper - lower,all,2246,2.3915081852644797e-4,unnormalised,01_CDK9_pT186,NA,1.0478353344822373,1.022077069107904,1.0742427566130897,0.06741201764717301,0.03150398593078932,0.10332004936355665
upper - lower,Cell-cell contacts,2246,0.512024983112582,unnormalised,01_CDK9_pT186,NA,0.9955446380220645,0.9823468814583448,1.0089197054538723,-0.006442090233105938,-0.0256955430641468,0.012811362597934712
upper - lower,(Cell-cell contacts) - all,2246,2.4776819090540724e-6,relative_to_all,01_CDK9_pT186,2246,0.9500964562470963,0.9301221633898318,0.9704996953125598,-0.073854107880279,-0.10450788087949345,-0.043200334881064305
upper - lower,all,2246,2.353743710235965e-4,unnormalised,01_CDK9_pT186,NA,1.0479149079701091,1.0221415792482063,1.0743381119019568,0.0675215729501558,0.031595041219426766,0.10344810468088486
upper - lower,Cytoplasm,2246,0.738845851634403,unnormalised,01_CDK9_pT186,NA,1.0022127315712523,0.9892754693737756,1.0153191809752737,0.003188770218025664,-0.015555791332061248,0.021933331768112962
upper - lower,Cytoplasm - all,2246,1.1163272166968248e-5,relative_to_all,01_CDK9_pT186,2246,0.9563875119522965,0.9375916637053686,0.9755601595298897,-0.06433280273212996,-0.0929683523289825,-0.03569725313527751
upper - lower,all,2246,2.308839233544778e-4,unnormalised,01_CDK9_pT186,NA,1.0479335206011424,1.0221841404652041,1.0743315417706651,0.06754719727501086,0.03165511271988658,0.10343928183013504
upper - lower,ER (perinuclear),2246,1.1826277373498494e-4,unnormalised,01_CDK9_pT186,NA,0.9722226893223607,0.9584026427657854,0.9862420192263552,-0.04064129136065756,-0.06129620856801344,-0.019986374153301813
upper - lower,ER (perinuclear) - all,2246,4.727133503633641e-12,relative_to_all,01_CDK9_pT186,2246,0.9277522573804582,0.9083416309737319,0.9475776753200768,-0.10818848863566828,-0.13869309184813133,-0.07768388542320531
upper - lower,all,2245,2.4347773573915417e-4,unnormalised,01_CDK9_pT186,NA,1.0477754196319877,1.0220179499321607,1.074182043532464,0.06732952250136931,0.03142053487700206,0.10323851012573641
upper - lower,ER (peripheral),2245,0.24961077375314797,unnormalised,01_CDK9_pT186,NA,1.0145043965168743,0.9899425698176283,1.0396756356701329,0.020775117257556507,-0.014583263273495867,0.056133497788609286
