cell_cycle,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
S - G1,Nucleoplasm,6295,3.580912750503509e-73,unnormalised,01_CDK9_pT186,NA,1.2659983158461985,1.234472949635463,1.2983287614351533,0.3402754855546005,0.30389522379998146,0.37665574730921964
S - G1,Nucleoplasm - all,6295,5.456361669722671e-9,relative_to_all,01_CDK9_pT186,6295,1.0218497251053666,1.014464953367595,1.029288254100536,0.031183046778450157,0.020719025295523826,0.04164706826137645
S - G1,all,6295,1.1341822878180584e-83,unnormalised,01_CDK9_pT186,NA,1.2390929659065917,1.212909928873446,1.2658412150894276,0.3092844331773803,0.2784724193847425,0.34009644697001823
S - G1,PML bodies,6295,2.5718436677989742e-95,unnormalised,01_CDK9_pT186,NA,1.3175017289177637,1.2841432503794104,1.3517267681689231,0.3978048550689015,0.36080614878761785,0.4348035613501851
S - G1,PML bodies - all,6295,5.17023039677864e-27,relative_to_all,01_CDK9_pT186,6295,1.0632791607801628,1.0515189041811226,1.0751709448626607,0.08852042189152116,0.07247478703897409,0.10456605674406808
S - G1,all,6294,7.892751056641724e-14,unnormalised,01_PABPC1,NA,1.0830530655629715,1.0606728833693848,1.1059054692707229,0.11510393135713226,0.08497979074280632,0.14522807197145807
S - G1,Cajal bodies,6294,6.209195128607837e-13,unnormalised,01_PABPC1,NA,1.0855825218901813,1.0616210099558128,1.1100848615293488,0.11846939835895288,0.08626882768502869,0.15066996903287688
S - G1,Cajal bodies - all,6294,0.6150809431709785,relative_to_all,01_PABPC1,6294,1.0023354869744032,0.9932632825631612,1.0114905545039385,0.0033654670018206326,-0.009751913787807053,0.016482847791448423
S - G1,all,6262,5.576300387236976e-14,unnormalised,01_PABPC1,NA,1.0830256469170856,1.0607881273014368,1.1057293362285758,0.11506740752794567,0.08513653352392857,0.14499828153196273
S - G1,Nuclear periphery,6262,1.3686595747893128e-13,unnormalised,01_PABPC1,NA,1.065445248660282,1.0477431080269517,1.0834464757591793,0.09145645748868461,0.06728503156345866,0.11562788341391056
S - G1,Nuclear periphery - all,6262,0.04208353840274349,relative_to_all,01_PABPC1,6262,0.9837673296963487,0.9683681648777082,0.9994113748050611,-0.023610950039261037,-0.046372443398505804,-8.494566800163549e-4
S - G1,all,6252,2.987778145540557e-14,unnormalised,01_PABPC1,NA,1.083053663089388,1.0610448084286128,1.1055190391709662,0.11510472729981282,0.0854855832392358,0.14472387136038994
S - G1,Nuclear speckles,6252,2.276673702947288e-5,unnormalised,01_PABPC1,NA,1.0466653667055124,1.0248246856626873,1.0689715081876574,0.06580026656580155,0.035377132406373954,0.09622340072522921
S - G1,Nuclear speckles - all,6252,3.8238512735140783e-17,relative_to_all,01_PABPC1,6252,0.9664021298076044,0.9587650283451358,0.9741000650687868,-0.04930446073401131,-0.06075080829622385,-0.03785811317179874
S - G1,all,6295,3.633826718781855e-13,unnormalised,01_PABPC1,NA,1.0830547491651714,1.060051320641659,1.1065573589203208,0.11510617401978099,0.08413411218745995,0.14607823585210206
S - G1,Nucleolus,6295,1.2784845498222584e-20,unnormalised,01_PABPC1,NA,1.0858403771201062,1.067241332457797,1.1047635513413352,0.11881203678594747,0.09388644586413604,0.14373762770775886
S - G1,Nucleolus - all,6295,0.6226543450961928,relative_to_all,01_PABPC1,6295,1.0025720102857976,0.9923675237734675,1.0128814292374564,0.003705862766166453,-0.011053572532489543,0.01846529806482223
S - G1,all,6295,3.170948399793441e-14,unnormalised,01_PABPC1,NA,1.083048246153155,1.0610183067661108,1.1055355935097901,0.11509751158479312,0.08544954866816647,0.14474547450141959
S - G1,Nucleoplasm,6295,2.926040294544388e-13,unnormalised,01_PABPC1,NA,1.079010260676041,1.057243388485172,1.1012252763409047,0.10970858396963402,0.08030753844240206,0.13910962949686606
S - G1,Nucleoplasm - all,6295,0.1525314307269788,relative_to_all,01_PABPC1,6295,0.9962716476468556,0.9911870329507176,1.0013823455197792,-0.005388927615159135,-0.012770781117547446,0.0019929258872290563
S - G1,all,6295,1.0486421965857709e-13,unnormalised,01_PABPC1,NA,1.083011985853671,1.0605311207166912,1.1059693945709712,0.1150492095537799,0.08478695660150273,0.1453114625060574
S - G1,PML bodies,6295,1.12012827452553e-5,unnormalised,01_PABPC1,NA,1.0502611958887704,1.0275480556311738,1.0734763922181334,0.07074816517897914,0.03920586641262919,0.10229046394532919
S - G1,PML bodies - all,6295,2.025767001951736e-12,relative_to_all,01_PABPC1,6295,0.969759531387748,0.9615123530330001,0.9780774482520952,-0.044301044374800806,-0.05662270217401847,-0.03197938657558326
S - G1,all,6294,1.005484831137275e-23,unnormalised,02_CDK7,NA,1.1036318376708552,1.082677142381725,1.1249921010074408,0.14225898140089122,0.11460309102827049,0.16991487177351217
S - G1,Cajal bodies,6294,6.049373803297418e-14,unnormalised,02_CDK7,NA,1.0747796590002932,1.054777942371681,1.0951606674703631,0.10404092265175345,0.07693930683869415,0.13114253846481266
S - G1,Cajal bodies - all,6294,9.664762134247118e-13,relative_to_all,02_CDK7,6294,0.9738570620330664,0.9668107918146529,0.980954686585142,-0.03821805874913785,-0.0486945179251709,-0.027741599573104857
S - G1,all,6262,2.7670665623635054e-23,unnormalised,02_CDK7,NA,1.1036807114363678,1.082504950556948,1.1252707086189027,0.14232286899050758,0.11437362276043166,0.17027211522058353
S - G1,Nuclear periphery,6262,8.32059074873536e-37,unnormalised,02_CDK7,NA,0.9049391140643471,0.8911557692946921,0.9189356433294462,-0.14410736655049322,-0.1662504656685195,-0.12196426743246697
S - G1,Nuclear periphery - all,6262,4.734200768334833e-112,relative_to_all,02_CDK7,6262,0.8199283585255634,0.806147605803046,0.8339446873934817,-0.2864302355410008,-0.31088407416977665,-0.2619763969122249
S - G1,all,6252,3.8852029402237816e-25,unnormalised,02_CDK7,NA,1.1035103134818196,1.0832195216536287,1.1241811909941999,0.14210011320569568,0.11532564433859781,0.16887458207279354
S - G1,Nuclear speckles,6252,9.206539725415051e-39,unnormalised,02_CDK7,NA,1.1539950190662787,1.129549067423512,1.1789700354207568,0.20663699696096305,0.17574694252471967,0.2375270513972064
S - G1,Nuclear speckles - all,6252,4.915772651584913e-27,relative_to_all,02_CDK7,6252,1.0457491923434485,1.0373078313620985,1.0542592470848025,0.06453688375526725,0.05284409171764752,0.0762296757928873
S - G1,all,6295,4.242035325863952e-24,unnormalised,02_CDK7,NA,1.1035704422386428,1.0828036627407174,1.1247355018177636,0.14217872152945565,0.11477167279936333,0.16958577025954763
S - G1,Nucleolus,6295,3.827337781438236e-18,unnormalised,02_CDK7,NA,1.0943004603899382,1.072334105765452,1.1167167873997983,0.1300089110739182,0.10075447448328369,0.15926334766455322
S - G1,Nucleolus - all,6295,0.01418576290418398,relative_to_all,02_CDK7,6295,0.9916000089401635,0.9849396618453259,0.9983053945537472,-0.012169810455537243,-0.021892748209547813,-0.0024468727015266294
S - G1,all,6295,3.386044113118313e-24,unnormalised,02_CDK7,NA,1.1036144212118473,1.0828835237523788,1.1247421943278826,0.14223621399200795,0.11487807328624358,0.16959435469777193
S - G1,Nucleoplasm,6295,4.9725266264077315e-23,unnormalised,02_CDK7,NA,1.1195660540829029,1.0948626866407574,1.1448268031679045,0.16293964930401075,0.13074994405069548,0.1951293545573261
S - G1,Nucleoplasm - all,6295,3.649351463397256e-6,relative_to_all,02_CDK7,6295,1.0144539909632022,1.0083160298182474,1.0206293159562985,0.020703435312002902,0.011947884069776744,0.02945898655422871
S - G1,all,6295,3.4646137309986406e-24,unnormalised,02_CDK7,NA,1.103633424712777,1.0828940132097953,1.1247700340802247,0.14226105602014918,0.1148920480255122,0.16963006401478598
S - G1,PML bodies,6295,1.118451732061521e-38,unnormalised,02_CDK7,NA,1.1566820348153106,1.1317559184677852,1.182157131085125,0.20999233044365853,0.1785628511157258,0.24142180977159158
S - G1,PML bodies - all,6295,3.366747534972105e-27,relative_to_all,02_CDK7,6295,1.0480672376485334,1.0392186544966588,1.056991163389243,0.06773127442350968,0.05549923323125489,0.07996331561576432
S - G1,all,6294,1.3738279318109074e-13,unnormalised,03_CDK9,NA,1.0928596719708952,1.0675082464764372,1.118813148809427,0.12810816446004142,0.09424721467453195,0.16196911424555097
S - G1,Cajal bodies,6294,1.1413827433498428e-5,unnormalised,03_CDK9,NA,1.0503126306791446,1.0275549688591104,1.073574315337091,0.07081881703237108,0.039215572670215096,0.10242206139452702
S - G1,Cajal bodies - all,6294,9.290331068966755e-16,relative_to_all,03_CDK9,6294,0.9610681568887797,0.9518288472603657,0.970397151593093,-0.0572893474276704,-0.07122591568964334,-0.043352779165697415
S - G1,all,6258,2.0723551834868184e-13,unnormalised,03_CDK9,NA,1.0928412055931949,1.067307604094101,1.1189856570506453,0.1280837866032125,0.09397602896943844,0.16219154423698662
S - G1,Nuclear periphery,6258,1.2370476919107204e-43,unnormalised,03_CDK9,NA,0.8836429010488632,0.8684280165123898,0.8991243508124557,-0.17846463134587526,-0.20352182513940195,-0.15340743755234876
S - G1,Nuclear periphery - all,6258,3.577317727586813e-100,relative_to_all,03_CDK9,6258,0.8085739232070969,0.7931589678101453,0.824288466529715,-0.306548417949088,-0.33431804978151947,-0.2787787861166564
S - G1,all,6252,2.7623431538879465e-14,unnormalised,03_CDK9,NA,1.0924268060621878,1.0678895412536258,1.1175278720327864,0.1275366206242037,0.09476242743083801,0.16031081381756937
S - G1,Nuclear speckles,6252,1.3031247680741491e-23,unnormalised,03_CDK9,NA,1.1321118418208933,1.1050609943307785,1.1598248684610164,0.17901648968040143,0.1441260020058442,0.2139069773549585
S - G1,Nuclear speckles - all,6252,3.8544918425508554e-13,relative_to_all,03_CDK9,6252,1.0363274093408197,1.0264141169832781,1.046336446060934,0.0514798690561975,0.03761291805943586,0.06534682005295919
S - G1,all,6295,7.881905707898632e-14,unnormalised,03_CDK9,NA,1.0927102272184486,1.0676477924498278,1.1183609886252859,0.12791086744963,0.09443579319563576,0.16138594170362416
S - G1,Nucleolus,6295,5.710863654978473e-13,unnormalised,03_CDK9,NA,1.1066395918152931,1.0766241091472826,1.1374918839065178,0.14618544455740023,0.10651463750860143,0.18585625160619937
S - G1,Nucleolus - all,6295,0.02412220078529477,relative_to_all,03_CDK9,6295,1.0127475374988506,1.0016622069286873,1.0239555487022647,0.018274577107770442,0.0023960668646992333,0.03415308735084114
S - G1,all,6295,7.72157317935327e-14,unnormalised,03_CDK9,NA,1.092648233936687,1.067612064604046,1.1182715170680888,0.1278290159806105,0.09438751393279504,0.16127051802842574
S - G1,Nucleoplasm,6295,3.3763242367854795e-13,unnormalised,03_CDK9,NA,1.1046661662222448,1.075510447874583,1.1346122589582244,0.14361044825747604,0.10502153965975194,0.1821993568552002
S - G1,Nucleoplasm - all,6295,0.0013073272311660861,relative_to_all,03_CDK9,6295,1.010998903317913,1.0042810136232945,1.0177617306757318,0.01578143227686577,0.0061630145421081315,0.025399850011622913
S - G1,all,6295,5.975748888456566e-14,unnormalised,03_CDK9,NA,1.092981981449514,1.0679645989969857,1.118585403388149,0.1282696173980118,0.09486382521089198,0.1616754095851318
S - G1,PML bodies,6295,2.3703737642794573e-24,unnormalised,03_CDK9,NA,1.1441950151862699,1.115030360406973,1.1741224986010896,0.19433296423563096,0.15708299284716074,0.23158293562410137
S - G1,PML bodies - all,6295,3.020147657417339e-19,relative_to_all,03_CDK9,6295,1.0468562470433749,1.0364652678455495,1.0573513999670734,0.06606334683761919,0.05167177226349876,0.08045492141173949
S - G1,all,6294,1.806252864966429e-16,unnormalised,03_RPS6,NA,1.0722357740840285,1.054630075881242,1.0901353768665312,0.10062217510653271,0.0767370451131545,0.12450730509991123
S - G1,Cajal bodies,6294,3.034512522305437e-14,unnormalised,03_RPS6,NA,1.0690778082150376,1.0508541352906302,1.0876175119221225,0.09636685721268966,0.07156242867477582,0.12117128575060351
S - G1,Cajal bodies - all,6294,0.3466304217655669,relative_to_all,03_RPS6,6294,0.9970547840826439,0.9909495497906992,1.0031976326868082,-0.0042553178938430965,-0.013116484619390741,0.004605848831704624
S - G1,all,6262,2.38504390228182e-16,unnormalised,03_RPS6,NA,1.0721167162375405,1.0544697576657407,1.090059003475308,0.10046197367914711,0.07651771903741889,0.1244062283208752
S - G1,Nuclear periphery,6262,0.4769816814809409,unnormalised,03_RPS6,NA,0.9958190801666081,0.9843874473081449,1.0073834678973204,-0.0060444367860391255,-0.02270183390331132,0.010612960331233311
S - G1,Nuclear periphery - all,6262,2.9948183891848677e-22,relative_to_all,03_RPS6,6262,0.9288345803069937,0.9151348649869222,0.9427393825569067,-0.10650641046518618,-0.12794372339217783,-0.08506909753819449
S - G1,all,6251,9.543238480694342e-17,unnormalised,03_RPS6,NA,1.0721913817602025,1.0547576594164325,1.0899132600344332,0.10056244392352473,0.07691156412704934,0.12421332372000034
S - G1,Nuclear speckles,6251,2.175412983895006e-9,unnormalised,03_RPS6,NA,1.0540526057505428,1.036060937318998,1.072356707670593,0.07594687092345324,0.051108859571265625,0.100784882275641
S - G1,Nuclear speckles - all,6251,3.5830645811809456e-13,relative_to_all,03_RPS6,6251,0.9830825202307806,0.9785807838880026,0.9876049657785967,-0.02461557300007151,-0.03123714162966885,-0.017994004370474093
S - G1,all,6295,3.7257662720576277e-16,unnormalised,03_RPS6,NA,1.07218354191016,1.054403305982099,1.090263603140232,0.10055189491676961,0.0764267988998981,0.12467699093364107
S - G1,Nucleolus,6295,2.523855893808839e-55,unnormalised,03_RPS6,NA,1.1140735294064372,1.0992649962444516,1.1290815528234193,0.1558444544097816,0.13653921402422725,0.17514969479533576
S - G1,Nucleolus - all,6295,1.6554668474367373e-26,relative_to_all,03_RPS6,6295,1.0390697915597993,1.0318030950772836,1.0463876653241249,0.055292559493012004,0.04516767923062419,0.06541743975539999
S - G1,all,6295,8.84234130370034e-17,unnormalised,03_RPS6,NA,1.072325276236633,1.0548769999065812,1.0900621571593687,0.10074259537786724,0.07707478853440121,0.12441040222133283
S - G1,Nucleoplasm,6295,2.983379067305679e-14,unnormalised,03_RPS6,NA,1.0696384634048623,1.051268646285471,1.0883292738138302,0.09712324971904526,0.07213138969802602,0.1221151097400644
S - G1,Nucleoplasm - all,6295,0.15953049791441556,relative_to_all,03_RPS6,6295,0.9974944050174773,0.9940141009953202,1.000986894496636,-0.0036193456588219613,-0.00866177701154711,0.0014230856939031358
S - G1,all,6295,3.900627390743134e-16,unnormalised,03_RPS6,NA,1.0721940539297143,1.054399078433694,1.0902893532399154,0.10056603947648741,0.07642101451425444,0.1247110644387203
S - G1,PML bodies,6295,4.7901116989569e-7,unnormalised,03_RPS6,NA,1.0453954483675636,1.0275014484037777,1.0636010734246293,0.06404878295660796,0.039140427584305595,0.08895713832891022
S - G1,PML bodies - all,6295,1.2477913246399817e-22,relative_to_all,03_RPS6,6295,0.975005825238509,0.9700962323502498,0.9799402652517489,-0.036517256519879554,-0.04380022691937726,-0.029234286120381682
S - G1,all,6294,8.949088471814407e-23,unnormalised,05_GTF2B,NA,1.080858368142942,1.0642830766920297,1.0976918054694205,0.11217748980274977,0.08988192811634854,0.13447305148915129
S - G1,Cajal bodies,6294,1.1742321286998565e-9,unnormalised,05_GTF2B,NA,1.047767094037092,1.0321575910131946,1.0636126623544822,0.06731805884039348,0.045663259923831884,0.08897285775695536
S - G1,Cajal bodies - all,6294,1.8093224767665285e-23,relative_to_all,05_GTF2B,6294,0.9693842643206758,0.9635079608804529,0.97529640653289,-0.04485943096235627,-0.05363150820517963,-0.036087353719532714
S - G1,all,6262,1.0487795576181934e-22,unnormalised,05_GTF2B,NA,1.0808873955609348,1.0642792514573716,1.0977547107891696,0.11221623414789313,0.08987674278820611,0.13455572550758027
S - G1,Nuclear periphery,6262,5.590996816112491e-42,unnormalised,05_GTF2B,NA,0.9182041366708166,0.9070435842020252,0.9295020121233962,-0.12311316322803355,-0.14075621976596658,-0.10547010669010046
S - G1,Nuclear periphery - all,6262,1.327074167528154e-126,relative_to_all,05_GTF2B,6262,0.8494910204724031,0.8384751460202916,0.8606516213251965,-0.2353293973759267,-0.2541600746573074,-0.216498720094546
S - G1,all,6252,6.1000618326697634e-24,unnormalised,05_GTF2B,NA,1.0807084146661685,1.0646032554066633,1.0970572103728258,0.11197732283185372,0.09031588294082013,0.13363876272288702
S - G1,Nuclear speckles,6252,5.326666733156826e-26,unnormalised,05_GTF2B,NA,1.100469592475991,1.0811479196616953,1.120136571453813,0.138119282085294,0.11256392211336902,0.16367464205721893
S - G1,Nuclear speckles - all,6252,2.562770416077655e-7,relative_to_all,05_GTF2B,6252,1.018285392749465,1.0112991502189792,1.0253198975420958,0.026141959253440393,0.016209820879263582,0.03607409762761727
S - G1,all,6295,9.943942500270651e-24,unnormalised,05_GTF2B,NA,1.0806997931298508,1.0645188152558915,1.0971267263041815,0.11196581343937,0.09020144949568061,0.13373017738305917
S - G1,Nucleolus,6295,4.4848964428919104e-38,unnormalised,05_GTF2B,NA,1.1096648192466,1.0923739598741162,1.1272293704396703,0.15012396789521118,0.12746682850890945,0.17278110728151297
S - G1,Nucleolus - all,6295,6.4944639764961594e-21,relative_to_all,05_GTF2B,6295,1.0268021020276712,1.021163961381839,1.0324713724735592,0.038158154455841295,0.03021452858705973,0.04610178032462279
S - G1,all,6295,1.957954143509715e-23,unnormalised,05_GTF2B,NA,1.0807703210099324,1.0644659025998777,1.097324474107628,0.11205996253003629,0.09012973754227213,0.1339901875178005
S - G1,Nucleoplasm,6295,3.851172370012156e-17,unnormalised,05_GTF2B,NA,1.0831375637304663,1.0632383475630731,1.103409207025779,0.11521648385885787,0.08846504400192066,0.14196792371579522
S - G1,Nucleoplasm - all,6295,0.48566883130336913,relative_to_all,05_GTF2B,6295,1.0021903291333183,0.996045555469297,1.0083730109463944,0.003156521328821445,-0.005716367506997321,0.012029410164640281
S - G1,all,6295,2.6022012275328337e-23,unnormalised,05_GTF2B,NA,1.0808168162213965,1.0644563442984376,1.0974287451843512,0.11212202656609505,0.09011678289904157,0.1341272702331487
S - G1,PML bodies,6295,6.897727287284626e-24,unnormalised,05_GTF2B,NA,1.095199587941297,1.0760787646725083,1.1146601687580264,0.13119380890790308,0.10578368128075237,0.15660393653505367
S - G1,PML bodies - all,6295,1.5359689176622915e-4,relative_to_all,05_GTF2B,6295,1.0133073167478865,1.0063990305223334,1.0202630239437773,0.019071782341807855,0.00920243756305167,0.02894112712056408
S - G1,all,6294,2.5362179117389765e-20,unnormalised,05_Sm,NA,1.0707852789404626,1.055410761774176,1.0863837617764749,0.09866921018622973,0.07780459953913609,0.1195338208333233
S - G1,Cajal bodies,6294,2.4224155673148313e-10,unnormalised,05_Sm,NA,1.0474357581281426,1.0325410269701096,1.0625453504979583,0.06686176251929926,0.04619910680732483,0.08752441823127384
S - G1,Cajal bodies - all,6294,6.29446355895625e-7,relative_to_all,05_Sm,6294,0.9781940214611241,0.9697548129568112,0.9867066714572736,-0.031807447666930416,-0.044308063922692355,-0.019306831411168426
S - G1,all,6262,1.8975900734994368e-20,unnormalised,05_Sm,NA,1.0707646846545007,1.055446410156815,1.0863052816986731,0.09864146273720088,0.07785332831675114,0.11942959715765057
S - G1,Nuclear periphery,6262,1.951303399595211e-21,unnormalised,05_Sm,NA,0.9467927794291895,0.9362197686389848,0.957485194403021,-0.07887939126669648,-0.09508086645753394,-0.06267791607585917
S - G1,Nuclear periphery - all,6262,2.669401944354322e-106,relative_to_all,05_Sm,6262,0.8842211486781406,0.8747209001261596,0.8938245783962929,-0.1775208540038972,-0.19310532964001048,-0.16193637836778393
S - G1,all,6252,1.050942772424949e-21,unnormalised,05_Sm,NA,1.0706875244782292,1.0558721361230412,1.0857107938112418,0.09853749721022402,0.07843513796329492,0.11863985645715297
S - G1,Nuclear speckles,6252,1.3860271722787359e-42,unnormalised,05_Sm,NA,1.12123472774945,1.1031346661549917,1.1396317723322729,0.1650883344420285,0.14160891997273423,0.18856774891132258
S - G1,Nuclear speckles - all,6252,2.204908529891379e-51,relative_to_all,05_Sm,6252,1.047210042253788,1.041007038068647,1.0534500080150895,0.06655083723180451,0.057979822482104565,0.07512185198150471
S - G1,all,6295,1.6951396269027376e-21,unnormalised,05_Sm,NA,1.0707313317351923,1.0558289970983312,1.0858440030631646,0.09859652397390549,0.07837619358329016,0.1188168543645208
S - G1,Nucleolus,6295,2.6324030872303054e-14,unnormalised,05_Sm,NA,1.0672005724400992,1.0495261439594312,1.0851726451709043,0.0938313454884629,0.06973810497293272,0.11792458600399278
S - G1,Nucleolus - all,6295,0.39218273537579995,relative_to_all,05_Sm,6295,0.9967024787727363,0.9891907039886023,1.0042712969158303,-0.0047651784854426445,-0.01567941295627693,0.006149055985391523
S - G1,all,6295,3.7842440248084135e-21,unnormalised,05_Sm,NA,1.0707195317550624,1.055687450958103,1.0859656564462457,0.09858062468515094,0.07818277059095853,0.11897847877934319
S - G1,Nucleoplasm,6295,1.8143539643966907e-19,unnormalised,05_Sm,NA,1.0809579043527857,1.0628933236998133,1.0993295045973688,0.11231034142225035,0.0879968093882224,0.13662387345627855
S - G1,Nucleoplasm - all,6295,3.954325129919402e-5,relative_to_all,05_Sm,6295,1.009562142366957,1.0049942137215766,1.0141508332931788,0.013729716737099537,0.0071871950766237945,0.020272238397575356
S - G1,all,6295,1.0121877598615926e-20,unnormalised,05_Sm,NA,1.0707107346953793,1.055513681765448,1.0861265914378473,0.09856877141626033,0.07794527928879616,0.11919226354372436
S - G1,PML bodies,6295,8.353169765636662e-39,unnormalised,05_Sm,NA,1.119165057918262,1.1004969992115998,1.1381497884705765,0.16242282512514566,0.13815521135537115,0.1866904388949201
S - G1,PML bodies - all,6295,2.868654036230134e-37,relative_to_all,05_Sm,6295,1.0452543545635302,1.0382162344366075,1.0523401864611595,0.06385405370888529,0.05410695223177064,0.07360115518600023
S - G1,all,6294,3.904684882117871e-58,unnormalised,07_POLR2A,NA,1.2281130468203074,1.1980331635483088,1.258948167430626,0.29644336574112784,0.2606678448749994,0.3322188866072565
S - G1,Cajal bodies,6294,5.719199946714838e-50,unnormalised,07_POLR2A,NA,1.1816315810468154,1.1561340238945015,1.2076914652367383,0.24078029012763166,0.20930865077996652,0.2722519294752968
S - G1,Cajal bodies - all,6294,3.5314916877675592e-16,relative_to_all,07_POLR2A,6294,0.962152127693915,0.9532936082619115,0.971092965276221,-0.05566307561349617,-0.06900747157515653,-0.04231867965183566
S - G1,all,6262,2.1006627493266392e-57,unnormalised,07_POLR2A,NA,1.2280908087013007,1.1978170436398596,1.2591297163659982,0.2964172418313079,0.26040756556365746,0.3324269180989585
S - G1,Nuclear periphery,6262,0.07842185721425181,unnormalised,07_POLR2A,NA,1.0166125681152822,0.9981319389272124,1.0354353701583294,0.023769971670695025,-0.002697562837048593,0.05023750617843852
S - G1,Nuclear periphery - all,6262,2.5269597702986155e-110,relative_to_all,07_POLR2A,6262,0.8277991830183504,0.8144416687109627,0.8413757715643568,-0.27264727016061313,-0.296116719985514,-0.24917782033571212
S - G1,all,6252,2.6917809350102533e-61,unnormalised,07_POLR2A,NA,1.2274950268820874,1.1983202405420097,1.257380114299617,0.29571717956474713,0.26101350721047956,0.3304208519190148
S - G1,Nuclear speckles,6252,2.8538658928263124e-72,unnormalised,07_POLR2A,NA,1.2712707817535238,1.238858104195386,1.3045314835227722,0.3462713583405448,0.3090109541477464,0.38353176253334337
S - G1,Nuclear speckles - all,6252,5.08656051196078e-13,relative_to_all,07_POLR2A,6252,1.0356626739112984,1.0258824110001523,1.0455361770823275,0.050554178775797626,0.03686537540001023,0.0642429821515849
S - G1,all,6295,4.865158570660858e-60,unnormalised,07_POLR2A,NA,1.2279002170642153,1.19835032596224,1.2581787732695586,0.29619332764976125,0.2610497275297659,0.33133692776975643
S - G1,Nucleolus,6295,9.984950776894349e-42,unnormalised,07_POLR2A,NA,1.231737924181939,1.1953757729931336,1.2692061761207765,0.30069532770186774,0.25746420867852166,0.3439264467252139
S - G1,Nucleolus - all,6295,0.6215923862379373,relative_to_all,07_POLR2A,6295,1.0031254226234274,0.9907729329168392,1.015631917346586,0.004502000052106587,-0.013373638979754618,0.022377639083967737
S - G1,all,6295,2.811799963889926e-60,unnormalised,07_POLR2A,NA,1.2277651941910839,1.1982949400974283,1.2579602246709887,0.29603467669611205,0.2609830468960945,0.3310863064961296
S - G1,Nucleoplasm,6295,4.0125300751999464e-54,unnormalised,07_POLR2A,NA,1.2379184157631802,1.205247273993617,1.2714751878324824,0.3079162377732596,0.26932916667642587,0.34650330887009323
S - G1,Nucleoplasm - all,6295,0.007650461792769279,relative_to_all,07_POLR2A,6295,1.0082696769872075,1.002187930213027,1.0143883306555046,0.011881561077147598,0.0031530679782459108,0.020610054176049386
S - G1,all,6295,8.078211400073402e-60,unnormalised,07_POLR2A,NA,1.2279515877277445,1.1983379478952905,1.2582970475494315,0.29625368324726675,0.26103482548681045,0.33147254100772305
