cell_cycle,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
S - G1,all,6293,3.9285541402778364e-83,unnormalised,01_CDK9_pT186,NA,1.2391145544957214,1.2128406078462353,1.2659576775630108,0.3093095688855255,0.2783899631711298,0.3402291745999214
S - G1,Cajal bodies,6293,1.3267915983904105e-65,unnormalised,01_CDK9_pT186,NA,1.2076303371422237,1.1821043020046011,1.2337075744611956,0.2721789046727655,0.24135733614660868,0.30300047319892276
S - G1,Cajal bodies - all,6293,8.739004664601177e-7,relative_to_all,01_CDK9_pT186,6293,0.9745913586122708,0.9646562183492419,0.9846288223872083,-0.037130664212759894,-0.05191320478520925,-0.022348123640310608
S - G1,all,6256,4.410780155638425e-83,unnormalised,01_CDK9_pT186,NA,1.239133824110861,1.212851600692414,1.2659855774432915,0.30933200423013596,0.27840303929398785,0.3402609691662842
S - G1,Nuclear periphery,6256,0.03937035559334159,unnormalised,01_CDK9_pT186,NA,0.9847666662945002,0.9704935585466533,0.9992496895054508,-0.022146166519016887,-0.04320945751116386,-0.0010828755268700383
S - G1,Nuclear periphery - all,6256,4.28052332096376e-105,relative_to_all,01_CDK9_pT186,6256,0.7947218025471287,0.7787574667687553,0.8110134032670533,-0.33147817074915303,-0.3607540040462451,-0.30220233745206077
S - G1,all,6252,2.9883851691282355e-89,unnormalised,01_CDK9_pT186,NA,1.2388439522934849,1.213559304357247,1.2646554087828477,0.3089944736523305,0.2792446120008207,0.3387443353038405
S - G1,Nuclear speckles,6252,6.104780755080319e-102,unnormalised,01_CDK9_pT186,NA,1.2968475126691519,1.2669422821715453,1.3274586338957206,0.37500885302892073,0.341350801415113,0.4086669046427284
S - G1,Nuclear speckles - all,6252,4.5266707468187986e-21,relative_to_all,01_CDK9_pT186,6252,1.0468207156101335,1.0369367361059312,1.0567989082398213,0.06601437937659022,0.052327877477650234,0.07970088127552992
S - G1,all,6295,1.1302501141032318e-86,unnormalised,01_CDK9_pT186,NA,1.2390335437859215,1.213334319025482,1.2652770951535721,0.3092152454272867,0.2789771217241866,0.3394533691303872
S - G1,Nucleolus,6295,3.780862750457508e-64,unnormalised,01_CDK9_pT186,NA,1.2366325786126822,1.2068998630874463,1.267097777751134,0.3064169184611155,0.2713059801358294,0.34152785678640124
S - G1,Nucleolus - all,6295,0.7032694272769552,relative_to_all,01_CDK9_pT186,6295,0.9980622274632669,0.9881511411942449,1.0080727212287104,-0.0027983269661714153,-0.01719637091672761,0.011599716984384964
S - G1,all,6295,4.251976211787653e-87,unnormalised,01_CDK9_pT186,NA,1.238928077918362,1.2133065462186965,1.2650906624036429,0.3090924387761504,0.2789440985511274,0.3392407790011733
