treatment,reference_level,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl,cluster
TSA (1h),Unperturbed,7,0.4565352010848537,unnormalised,NA,1.0342010198614324,0.9512168856334597,1.124424687614906,0.04851663262617073,-0.07215376941330635,0.16918703466564752,all
TSA (1h),Unperturbed,7,0.7885355401930777,unnormalised,NA,1.0553996926850504,0.7223224788869668,1.5420654124402566,0.07778946855477419,-0.4692850267177248,0.6248639638272733,Cajal bodies
TSA (1h),Unperturbed,7,0.9509090281048537,unnormalised,NA,0.9792784589484935,0.5147118761440163,1.863151686618966,-0.030208944739408394,-0.9581630241043101,0.897745134625493,Nuclear periphery
TSA (1h),Unperturbed,7,0.49633577754368163,unnormalised,NA,1.031677156123111,0.9474232498724257,1.123423722828831,0.04499157722551955,-0.07791901863611794,0.16790217308715732,Nuclear speckles
TSA (1h),Unperturbed,7,0.3598044135081812,unnormalised,NA,1.0280781136323753,0.972681326415902,1.0866298951420104,0.03994988502661638,-0.0399608737489601,0.1198606438021927,Nucleolus
TSA (1h),Unperturbed,7,0.5966695805281796,unnormalised,NA,0.9707188252012942,0.8738798351132334,1.0782890275504324,-0.04287462440407299,-0.19449318267282167,0.10874393386467572,Nucleoplasm
TSA (1h),Unperturbed,7,0.7690581562312453,unnormalised,NA,0.964933781306906,0.7672834495986323,1.2134983529154748,-0.05149815422484175,-0.38216845876626276,0.27917215031657944,PML bodies
TSA (1h),Unperturbed,7,0.7957357795120834,relative_to_all,NA,1.0509427991609352,0.7316644608635966,1.509545462690075,0.07168414826050198,-0.450745910353617,0.5941142068746215,Cajal bodies
TSA (1h),Unperturbed,7,0.9416245626914987,relative_to_all,NA,0.9748953213953795,0.5056027931679893,1.8797777633376678,-0.03668077593411035,-0.9839236612804247,0.9105621094122042,Nuclear periphery
TSA (1h),Unperturbed,7,0.5702418267226137,relative_to_all,NA,1.02938735454275,0.9357922516063049,1.132343555819823,0.04178596505117904,-0.09573981170681138,0.17931174180916967,Nuclear speckles
TSA (1h),Unperturbed,7,0.45966089406766586,relative_to_all,NA,1.0234795249090332,0.9656683278816249,1.0847516768059806,0.03348224099574455,-0.05040033427867967,0.11736481627016863,Nucleolus
TSA (1h),Unperturbed,7,0.44392405122580714,relative_to_all,NA,0.9664484246511509,0.8899608667897256,1.0495096946002866,-0.049235351054463763,-0.16818619535848867,0.06971549324956124,Nucleoplasm
TSA (1h),Unperturbed,7,0.7315601525444813,relative_to_all,NA,0.960759668294103,0.7712360912076395,1.1968567741367282,-0.05775250543142234,-0.3747555285529604,0.25925051769011587,PML bodies
