EU_bin,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
upper - lower,all,2246,1.5418250970332306e-46,unnormalised,NA,NA,1.3542196341325692,1.3004162205131446,1.4102491098938212,0.4374617414070713,0.3789734564561388,0.49595002635800367
upper - lower,Cajal bodies,2246,1.195497365641791e-16,unnormalised,NA,NA,1.4969552908588681,1.3616757632850154,1.6456745454764448,0.582031133474212,0.4453832155462612,0.718679051402163
upper - lower,Cajal bodies - all,2246,0.02459041405194326,relative_to_all,NA,2246,1.105400669971623,1.0129732516152992,1.206261507127893,0.14456939206714076,0.01859607910306665,0.2705427050312151
upper - lower,all,2246,1.884094833501303e-46,unnormalised,NA,NA,1.3538965043834872,1.3000937464949607,1.4099258222906395,0.4371174595041304,0.37861565612071507,0.4956192628875455
upper - lower,Cell-cell contacts,2246,2.8389328762397463e-10,unnormalised,NA,NA,1.2618212817550303,1.174236983606599,1.3559383406572512,0.3355075884629445,0.23172360143875761,0.4392915754871314
upper - lower,(Cell-cell contacts) - all,2246,0.049801238297464974,relative_to_all,NA,2246,0.931992421628724,0.868695980610395,0.9999008782831464,-0.10160987104118563,-0.20307673258523187,-1.4300949713956328e-4
upper - lower,all,2246,2.564560728331869e-46,unnormalised,NA,NA,1.354700009435056,1.3006789935066165,1.4109646766998434,0.43797341038593784,0.3792649500499202,0.4966818707219553
upper - lower,Cytoplasm,2246,6.412643838774267e-34,unnormalised,NA,NA,1.5801600405509357,1.4694411969392533,1.6992212815013084,0.6600706837292039,0.5552676273924186,0.7648737400659888
upper - lower,Cytoplasm - all,2246,1.0245115659478412e-12,relative_to_all,NA,2246,1.1664280132469345,1.1183506635758202,1.2165721847358206,0.2220972733432662,0.16137262224186302,0.2828219244446691
upper - lower,all,2246,1.6708914720738242e-46,unnormalised,NA,NA,1.3537394964626805,1.2999953029772204,1.4097055736170951,0.436950144142013,0.37850641065087376,0.49539387763315224
upper - lower,ER (perinuclear),2246,9.093240887715282e-33,unnormalised,NA,NA,1.3689497294138255,1.301133292741795,1.4403008301426032,0.45306946890626226,0.379768764459435,0.5263701733530892
upper - lower,ER (perinuclear) - all,2246,0.5175853836937316,relative_to_all,NA,2246,1.0112357163183088,0.9775903991579699,1.0460389901932339,0.016119324764249106,-0.032697978260998364,0.0649366277894968
