EU_bin,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
upper - lower,all,2246,2.4094889919933436e-46,unnormalised,NA,NA,1.3538548254500011,1.299993041515898,1.409948230381999,0.43707304627460514,0.37850390094805764,0.4956421916011526
upper - lower,ER (peripheral),2246,1.4473906919403175e-5,unnormalised,NA,NA,1.498765833926014,1.2487728267351568,1.7988051764521147,0.5837749952781116,0.32051104976273537,0.8470389407934877
upper - lower,ER (peripheral) - all,2246,0.20879252777319987,relative_to_all,NA,2246,1.107035854769618,0.944750071631984,1.2971985084144966,0.14670194900350653,-0.08199537201540502,0.37539927002241774
upper - lower,all,2246,2.9055512415587018e-46,unnormalised,NA,NA,1.3532410103611334,1.299432289908065,1.4092779180150916,0.4364188041985074,0.3778814606212974,0.4949561477757171
upper - lower,Focal adhesions,2246,0.039336214740293585,unnormalised,NA,NA,0.8836311898023297,0.785592342376056,0.9939049014020517,-0.1784837520441125,-0.3481472279510656,-0.008820276137159388
upper - lower,Focal adhesions - all,2246,7.304708690308834e-18,relative_to_all,NA,2246,0.6529739957899435,0.593077121009922,0.7189200595899434,-0.6149025562426199,-0.75370837651702,-0.4760967359682196
upper - lower,all,2246,3.337612544428116e-46,unnormalised,NA,NA,1.3535130110279114,1.2996210569092035,1.409639726351274,0.43670875593501474,0.3780910240127055,0.49532648785732414
upper - lower,Golgi apparatus,2246,5.657706778336857e-32,unnormalised,NA,NA,1.842343702279609,1.6667110578070692,2.0364839492906497,0.8815422315261999,0.7370040193813576,1.0260804436710425
upper - lower,Golgi apparatus - all,2246,3.1214570915056607e-12,relative_to_all,NA,2246,1.361156994627233,1.2487414049766603,1.4836925857017373,0.44483347559118513,0.32047474805555337,0.5691922031268171
upper - lower,all,2243,1.8372762412621076e-46,unnormalised,NA,NA,1.3539970960339607,1.3001857994689583,1.4100355017084374,0.4372246447165311,0.3787178023452216,0.4957314870878406
upper - lower,HDAC3 foci,2243,0.013190413443936832,unnormalised,NA,NA,1.1727575712127967,1.0340101208183883,1.330122687530738,0.22990481476772195,0.04825030671961765,0.411559322815826
upper - lower,HDAC3 foci - all,2243,0.01033895730890073,relative_to_all,NA,2243,0.8661448201388031,0.7761205553716367,0.9666112361810227,-0.2073198299488093,-0.3656473301963601,-0.048992329701258386
upper - lower,all,2245,2.2172300774407545e-46,unnormalised,NA,NA,1.3533459049611356,1.299592702809226,1.409322424261055,0.4365306283697234,0.3780595480948245,0.4950017086446222
upper - lower,Mitochondria (peripheral),2245,3.133562583778331e-20,unnormalised,NA,NA,1.8758387583496552,1.6430067661555172,2.141665585200463,0.9075358233080714,0.7163384215411284,1.0987332250750141
upper - lower,Mitochondria (peripheral) - all,2245,1.0763444025697687e-9,relative_to_all,NA,2245,1.3860748766986695,1.2485501450158654,1.5387476197768724,0.4710051949383481,0.3202537648087236,0.6217566250679725
upper - lower,all,2246,2.5155730545284863e-46,unnormalised,NA,NA,1.3532030178748238,1.2994394489380594,1.4091910239311325,0.43637829970551095,0.37788940891433254,0.49486719049668915
upper - lower,Nuclear periphery,2246,9.26178831193878e-40,unnormalised,NA,NA,0.7748778210940831,0.7466222776928995,0.8042026812793348,-0.3679592435938862,-0.42154953851323096,-0.31436894867454157
upper - lower,Nuclear periphery - all,2246,2.8231747541609756e-100,relative_to_all,NA,2246,0.572624957865533,0.5453320040942454,0.601283878277269,-0.8043375432993971,-0.874793268986074,-0.7338818176127202
upper - lower,all,2225,1.2082451678745453e-46,unnormalised,NA,NA,1.354741887702013,1.3009275162637814,1.4107823528596002,0.43801800818161546,0.37954058170217353,0.4964954346610574
upper - lower,Nuclear speckles,2225,2.671387580058646e-13,unnormalised,NA,NA,1.8210665913514994,1.5522210529534244,2.136476324571586,0.8647836786332728,0.6343340274286191,1.0952333298379267
upper - lower,Nuclear speckles - all,2225,9.345959576545768e-5,relative_to_all,NA,2225,1.344216642212556,1.1591493415593086,1.5588313916224978,0.4267656704516575,0.21306645111328085,0.640464889790034
upper - lower,all,2246,2.478230688434803e-46,unnormalised,NA,NA,1.3536176825495285,1.2997882827522487,1.4096763717787766,0.4368203198765657,0.37827664763967456,0.49536399211345705
upper - lower,Nucleolus,2246,1.7426040394428515e-16,unnormalised,NA,NA,1.1804298211547406,1.1350970818557502,1.2275730287257403,0.23931227309419043,0.18281569268995265,0.29580885349842806
upper - lower,Nucleolus - all,2246,3.579560971796084e-15,relative_to_all,NA,2246,0.8720555562863289,0.8430212820917009,0.9020897922801624,-0.19750804678237543,-0.24635904239070794,-0.14865705117404285
upper - lower,all,2246,2.398215505857548e-46,unnormalised,NA,NA,1.3528880025769172,1.2991903047539417,1.4088051156317773,0.43604241225256707,0.3776127715215038,0.49447205298363045
upper - lower,Nucleoplasm,2246,1.3624291506753881e-93,unnormalised,NA,NA,1.4810168379003843,1.4289927596891114,1.5349349108120374,0.5665880429341836,0.5149986067156918,0.6181774791526757
upper - lower,Nucleoplasm - all,2246,5.503390918815081e-9,relative_to_all,NA,2246,1.0947076440026176,1.0620398028320917,1.1283803324904447,0.13054563068161656,0.08683783607842287,0.17425342528481053
upper - lower,all,2246,1.3075369641132737e-46,unnormalised,NA,NA,1.3545039764642441,1.3006968441978188,1.4105369982572349,0.4377646289159513,0.3792847496523468,0.4962445081795558
upper - lower,P-bodies,2246,1.3159366484163771e-25,unnormalised,NA,NA,1.278288836412247,1.2215031723033145,1.3377143722148503,0.3542138580203348,0.2886576103594199,0.41977010568124956
upper - lower,(P-bodies) - all,2246,0.014960853740745648,relative_to_all,NA,2246,0.9437320662203246,0.9007531246413635,0.9887617244370807,-0.08355077089561663,-0.1507963436315989,-0.01630519815963415
upper - lower,all,2246,2.282496695418874e-46,unnormalised,NA,NA,1.3539824317684472,1.3001137136673253,1.4100831383174661,0.4372090197364178,0.3786378132300942,0.4957802262427412
upper - lower,PML bodies,2246,6.053621225055601e-20,unnormalised,NA,NA,1.4355013221240964,1.3294282815149057,1.5500377677176145,0.5215546592953553,0.4108059504233957,0.6323033681673147
upper - lower,PML bodies - all,2246,0.11258132425308096,relative_to_all,NA,2246,1.0602067563381725,0.9863685162758427,1.1395724292063338,0.0843456395589375,-0.019801343542394854,0.18849262266026998
upper - lower,all,2246,3.198590189678895e-45,unnormalised,NA,NA,1.3534338383347544,1.2989354120319567,1.4102188128692577,0.43662436413999234,0.3773296963302069,0.49591903194977766
upper - lower,Cytoplasm (combined),2246,1.997742316915436e-42,unnormalised,NA,NA,1.4357537260587865,1.36456820263698,1.5106527895843738,0.5218083058016428,0.44844450391739965,0.595172107685886
upper - lower,Cytoplasm (combined) - all,2246,8.104413457746543e-22,relative_to_all,NA,2246,1.0608229862387049,1.0482406836929008,1.0735563173982776,0.08518394166165076,0.06797000819548489,0.10239787512781655
upper - lower,all,2246,1.781892984266848e-46,unnormalised,NA,NA,1.3537613396237917,1.2999962608914875,1.4097500275910244,0.4369734224507714,0.37850747371444815,0.49543937118709463
upper - lower,Nucleus (combined),2246,1.1253593705311006e-37,unnormalised,NA,NA,1.189183413618392,1.158681413612285,1.220488371187676,0.2499712462110631,0.2124839432348869,0.287458549187239
upper - lower,Nucleus (combined) - all,2246,2.658145519395134e-22,relative_to_all,NA,2246,0.8784291431670402,0.8559878702217381,0.9014587547429764,-0.18700217623970852,-0.22433774182978808,-0.14966661064962894
