cell_cycle,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
G2 - G1,all,5207,4.0251795085674933e-163,unnormalised,01_CDK9_pT186,NA,1.4623442532247029,1.424245818741541,1.5014618170540548,0.5482829788392959,0.5101981707936477,0.5863677868849442
G2 - G1,Cajal bodies,5207,9.150962837525406e-152,unnormalised,01_CDK9_pT186,NA,1.4438984038589793,1.4060889826644252,1.4827245120119636,0.5299692343266837,0.4916878965346168,0.5682505721187507
G2 - G1,Cajal bodies - all,5207,0.05509601640093323,relative_to_all,01_CDK9_pT186,5207,0.987386110127593,0.9746642152222357,1.0002740587440184,-0.018313744512612234,-0.03702281804691868,3.953290216940901e-4
G2 - G1,all,5166,1.3247425717307252e-177,unnormalised,01_CDK9_pT186,NA,1.4624114237097385,1.4260214393062927,1.4997300273669922,0.5483492452467339,0.5119956719279148,0.5847028185655527
G2 - G1,Nuclear periphery,5166,6.325515597148812e-37,unnormalised,01_CDK9_pT186,NA,1.1554426616695732,1.1301509938257006,1.1813003321677986,0.20844566847933005,0.17651553679158594,0.2403758001670742
G2 - G1,Nuclear periphery - all,5166,7.183948514352402e-73,relative_to_all,01_CDK9_pT186,5166,0.7900941164275992,0.7704540462344894,0.8102348425119661,-0.3399035767674038,-0.37621918519042274,-0.30358796834438506
G2 - G1,all,5166,2.0183693866426766e-194,unnormalised,01_CDK9_pT186,NA,1.4623128687479634,1.4276708647607492,1.4977954505391178,0.5482520157369107,0.5136634187870024,0.5828406126868189
G2 - G1,Nuclear speckles,5166,9.377096661006287e-184,unnormalised,01_CDK9_pT186,NA,1.4846490795105254,1.4469572777436728,1.5233227153247846,0.57012196733726,0.5330223260871654,0.6072216085873543
G2 - G1,Nuclear speckles - all,5166,0.014842321556831555,relative_to_all,01_CDK9_pT186,5166,1.0152745771714957,1.0029718664945797,1.0277281960593558,0.021869951600349213,0.004281138713804535,0.03945876448689398
G2 - G1,all,5209,1.4368066600455254e-171,unnormalised,01_CDK9_pT186,NA,1.4625226811500736,1.4254264975508377,1.5005842788481722,0.5484589985278379,0.5113936482882241,0.5855243487674519
