treatment,reference_level,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl,cluster
AZD4573 (2.5h),Unperturbed,6,7.788121570049351e-5,unnormalised,01_CDK9_pT186,0.38610404683017424,0.31722721120696823,0.46993552164532204,-1.3729384193663918,-1.6564115666273684,-1.0894652721054152,all
AZD4573 (2.5h),Unperturbed,6,0.04256771409891321,unnormalised,01_PABPC1,0.7096564756917563,0.5461002940190522,0.9221974772891705,-0.49480726850896445,-0.8727621613315225,-0.11685237568640654,all
AZD4573 (2.5h),Unperturbed,6,0.010568683298618188,unnormalised,02_CDK7,0.7880586412319873,0.6937094447516096,0.8952399692969081,-0.3436251069990991,-0.5275965680917896,-0.15965364590640868,all
AZD4573 (2.5h),Unperturbed,6,7.942701963473169e-7,unnormalised,03_CDK9,0.3082615238103126,0.27596804947142534,0.34433394461374106,-1.697773266655901,-1.8574268479468512,-1.5381196853649504,all
AZD4573 (2.5h),Unperturbed,6,0.037750345963100077,unnormalised,03_RPS6,0.8409491106770445,0.7400207538956219,0.9556426668112881,-0.24990959523360692,-0.43436236316951354,-0.065456827297700207,all
AZD4573 (2.5h),Unperturbed,6,0.002673977312279831,unnormalised,05_GTF2B,0.7920489226605129,0.7217148466199412,0.8692373432883532,-0.33633855056747225,-0.47049916169135264,-0.202177939443592,all
AZD4573 (2.5h),Unperturbed,6,0.22868439206280727,unnormalised,05_Sm,0.9024442193337523,0.7766539384929487,1.0486080461900595,-0.14809033405388303,-0.36465618921958953,0.06847552111182353,all
AZD4573 (2.5h),Unperturbed,6,6.206999263616682e-4,unnormalised,07_POLR2A,0.5675846809833505,0.47873556848623583,0.6729234076039494,-0.8170924430639431,-1.0626990973268458,-0.5714857888010405,all
AZD4573 (2.5h),Unperturbed,6,0.024551618535664076,unnormalised,07_SETD1A,0.7488680554036539,0.6192627355076789,0.9055984354432322,-0.41721654520657536,-0.6913764612262372,-0.14305662918691334,all
AZD4573 (2.5h),Unperturbed,6,0.0343639716314747,unnormalised,08_H3K4me3,0.8352017880306136,0.7337736304703134,0.9506501702472334,-0.2598032944018135,-0.44659303531763844,-0.07301355348598863,all
AZD4573 (2.5h),Unperturbed,6,5.97470064670068e-4,unnormalised,09_CCNT1,0.6378409901632242,0.5577357870725108,0.7294513605947059,-0.6487312810773664,-0.842346250526004,-0.4551163116287288,all
AZD4573 (2.5h),Unperturbed,6,0.3152075293087067,unnormalised,09_SRRM2,1.0619335742436375,0.9537123569341085,1.1824350475347563,0.08669352592882754,-0.06837388504895475,0.24176093690660952,all
AZD4573 (2.5h),Unperturbed,6,5.357029581941899e-4,unnormalised,10_H3K27ac,0.7381270971473058,0.6754086814202526,0.8066695417616395,-0.4380588414245174,-0.5661673716251048,-0.3099503112239299,all
AZD4573 (2.5h),Unperturbed,6,3.578438714956093e-9,unnormalised,10_POL2RA_pS2,0.19102850392898751,0.1793748566467778,0.2034392667708522,-2.3881401717633004,-2.478950416075011,-2.2973299274515897,all
AZD4573 (2.5h),Unperturbed,6,0.5115477249425069,unnormalised,11_KPNA2_MAX,0.9494602311298873,0.8207196184266714,1.0983954937318985,-0.07482052163556051,-0.2850386550923895,0.13539761182126853,all
AZD4573 (2.5h),Unperturbed,6,0.24247137831997742,unnormalised,11_PML,0.8036197234106085,0.5774290014867312,1.1184139663781383,-0.31541512200893435,-0.7922845258476741,0.1614542818298053,all
AZD4573 (2.5h),Unperturbed,6,0.9064496237228624,unnormalised,12_RB1_pS807_S811,0.9917723867275683,0.8690370818426533,1.1318417678906239,-0.011919036994922763,-0.20251035668645517,0.17867228269660987,all
AZD4573 (2.5h),Unperturbed,6,0.6193669657501302,unnormalised,12_YAP1,1.0456369721372272,0.8847577464872846,1.2357695446479169,0.06438205865609796,-0.17664560668007256,0.3054097239922689,all
AZD4573 (2.5h),Unperturbed,6,0.02010745664101635,unnormalised,13_PABPN1,0.8653468814958128,0.7906158114627548,0.9471417273189772,-0.20864952988740224,-0.338951287097904,-0.07834777267690038,all
AZD4573 (2.5h),Unperturbed,6,2.4805172316695633e-4,unnormalised,13_POL2RA_pS5,0.5257950044130303,0.4466057310486701,0.6190256135239125,-0.9274276599355589,-1.1629263302866606,-0.6919289895844576,all
AZD4573 (2.5h),Unperturbed,6,0.6518544306788143,unnormalised,14_PCNA,0.9757031547659967,0.8814600516683269,1.080022451860964,-0.03548580190072592,-0.1820329077196308,0.11106130391817891,all
AZD4573 (2.5h),Unperturbed,6,0.8726199164984826,unnormalised,15_SON,1.011683478259404,0.8829782013559608,1.1591491824048263,0.016757989861894137,-0.17955027330337012,0.2130662530271587,all
AZD4573 (2.5h),Unperturbed,6,0.44571197314096933,unnormalised,15_U2SNRNPB,0.9550174388739608,0.8550596173226348,1.066660487849045,-0.06640101750099091,-0.22590308235406387,0.09310104735208193,all
AZD4573 (2.5h),Unperturbed,6,0.4470101497713411,unnormalised,16_H3,0.9500971822579457,0.8398540452478489,1.0748113447118033,-0.07385300545342009,-0.2517894652018569,0.10408345429501684,all
AZD4573 (2.5h),Unperturbed,6,0.19499067578001705,unnormalised,17_HDAC3,0.8552129791311994,0.6930935924250744,1.055253212073991,-0.22564434661599528,-0.5288779139383151,0.0775892207063245,all
AZD4573 (2.5h),Unperturbed,6,0.4244266264778747,unnormalised,17_SRSF2,1.1977050546262868,0.7927392581445416,1.8095450466713263,0.2602726755580506,-0.335081671377668,0.8556270224937695,all
AZD4573 (2.5h),Unperturbed,6,2.058889146570204e-4,unnormalised,18_NONO,0.6359393194137949,0.5690500518090668,0.7106911188054426,-0.6530389830842043,-0.8133725419671436,-0.4927054242012647,all
AZD4573 (2.5h),Unperturbed,6,0.9271014971829026,unnormalised,19_KPNA1_MAX,0.9916620350248952,0.834946899276307,1.1777917764136572,-0.012079570514577675,-0.26024364650634896,0.23608450547719362,all
AZD4573 (2.5h),Unperturbed,6,0.03134474953671577,unnormalised,20_ALYREF,0.8525428780460357,0.7623288269365726,0.9534328667955403,-0.2301556995907266,-0.39151466322973627,-0.06879673595171693,all
AZD4573 (2.5h),Unperturbed,6,0.20362782414566272,unnormalised,20_SP100,1.0829087667443453,0.9706507097858819,1.2081497342648064,0.11491170341734037,-0.04297586197918966,0.27279926881387034,all
AZD4573 (2.5h),Unperturbed,6,0.0017763009946785075,unnormalised,21_COIL,0.7623418825944865,0.6899575427274104,0.842320157353963,-0.39148995581873824,-0.5354205080417834,-0.24755940359569287,all
AZD4573 (2.5h),Unperturbed,6,0.026539515274263015,unnormalised,21_NCL,0.7470196854571236,0.61430929493835,0.9083997508396201,-0.4207818334830684,-0.702962882414093,-0.13860078455204392,all
AZD4573 (2.5h),Unperturbed,6,0.8039770639922943,unnormalised,00_DAPI,0.9874210348304189,0.8973628152973557,1.0865173856156423,-0.01826271604058623,-0.1562366916816348,0.11971125960046251,all
AZD4573 (2.5h),Unperturbed,6,0.8905886597701012,unnormalised,07_H2B,0.985437845645282,0.8065279291618677,1.2040348666402108,-0.021163215609595932,-0.31020360172261396,0.2678771705034221,all
AZD4573 (2.5h),Unperturbed,6,5.156641971963161e-5,unnormalised,01_CDK9_pT186,0.364533428994611,0.3003103255099166,0.44249101534865826,-1.45587697407082,-1.7354740152441956,-1.1762799328974447,Cajal bodies
AZD4573 (2.5h),Unperturbed,6,4.3503358629578886e-4,unnormalised,01_CDK9_pT186,0.5601144318810872,0.47582247632594926,0.6593387080490962,-0.8362064937132516,-1.0715046732333715,-0.6009083141931321,Nuclear periphery
AZD4573 (2.5h),Unperturbed,6,1.1692942265024342e-5,unnormalised,01_CDK9_pT186,0.2704210110884833,0.22268247870116015,0.3283937005939957,-1.886720844837092,-2.1669400476973975,-1.606501641976787,Nuclear speckles
AZD4573 (2.5h),Unperturbed,6,0.001123171442526909,unnormalised,01_CDK9_pT186,0.5277877649113525,0.4257143643513594,0.6543352729348221,-0.9219701881532911,-1.2320423248785095,-0.611898051428073,Nucleolus
AZD4573 (2.5h),Unperturbed,6,1.3122078928988148e-4,unnormalised,01_CDK9_pT186,0.3659577595384234,0.29144642762088196,0.4595186939144588,-1.4502509590045314,-1.7786973768429626,-1.1218045411661,Nucleoplasm
AZD4573 (2.5h),Unperturbed,6,5.4489618015880685e-5,unnormalised,01_CDK9_pT186,0.3440081470405376,0.27970781964569447,0.4230900851473059,-1.5394853626466145,-1.8380075078363258,-1.2409632174569032,PML bodies
AZD4573 (2.5h),Unperturbed,6,0.03066942252295399,unnormalised,01_PABPC1,0.7118961531260242,0.5617672226130473,0.9021461424507488,-0.4902612895059602,-0.8319556447789268,-0.1485669342329935,Cajal bodies
AZD4573 (2.5h),Unperturbed,6,0.01967648187029102,unnormalised,01_PABPC1,0.7088030010760789,0.5723788837224991,0.8777432372540673,-0.49654338260220415,-0.8049576459373398,-0.18812911926706888,Nuclear periphery
AZD4573 (2.5h),Unperturbed,6,0.0443066206935549,unnormalised,01_PABPC1,0.7321826419980778,0.575437947246066,0.9316233380313457,-0.4497245231025003,-0.7972677321720791,-0.10218131403292117,Nuclear speckles
AZD4573 (2.5h),Unperturbed,6,0.010228848599383635,unnormalised,01_PABPC1,0.6703419887907603,0.5419900468591761,0.829089730595565,-0.5770307908756701,-0.8836617368114538,-0.2703998449398863,Nucleolus
AZD4573 (2.5h),Unperturbed,6,0.025038150054531107,unnormalised,01_PABPC1,0.6998826038446365,0.5529276457858576,0.8858946788022531,-0.5148151457653376,-0.85483738819839,-0.17479290333228548,Nucleoplasm
AZD4573 (2.5h),Unperturbed,6,0.03144843030427261,unnormalised,01_PABPC1,0.7083784213425641,0.5561530016622205,0.9022696745751838,-0.4974078295736932,-0.846446261626175,-0.1483693975212115,PML bodies
AZD4573 (2.5h),Unperturbed,6,0.008290246616479027,unnormalised,02_CDK7,0.788419410634165,0.6989331635731122,0.8893628167347661,-0.34296479937744084,-0.5167735923507997,-0.16915600640408196,Cajal bodies
AZD4573 (2.5h),Unperturbed,6,0.1296903401277478,unnormalised,02_CDK7,1.105564082040537,0.9883830068718724,1.236637954113048,0.14478265081010205,-0.016857888057600294,0.3064231896778042,Nuclear periphery
AZD4573 (2.5h),Unperturbed,6,0.0022439569438957047,unnormalised,02_CDK7,0.7041486419404822,0.6151804780020107,0.8059834921240866,-0.5060480888163741,-0.7009183730189659,-0.31117780461378225,Nuclear speckles
AZD4573 (2.5h),Unperturbed,6,0.3164950123434066,unnormalised,02_CDK7,0.9192896449981777,0.7904782548134133,1.06909133332245,-0.12140860490132702,-0.3392023187102286,0.09638510890757448,Nucleolus
AZD4573 (2.5h),Unperturbed,6,0.010970135868886078,unnormalised,02_CDK7,0.7550473805832731,0.6487559044837199,0.8787535388665867,-0.4053609158963279,-0.624252331042096,-0.18646950075055965,Nucleoplasm
AZD4573 (2.5h),Unperturbed,6,0.006006441796712773,unnormalised,02_CDK7,0.7570921711834923,0.6638693230177256,0.8634056971661425,-0.4014591449873441,-0.5910288075140073,-0.2118894824606807,PML bodies
AZD4573 (2.5h),Unperturbed,6,4.885961641009e-7,unnormalised,03_CDK9,0.28719713585910484,0.2577714088363187,0.31998193755478976,-1.7998867332698167,-1.9558358413411605,-1.6439376251984732,Cajal bodies
AZD4573 (2.5h),Unperturbed,6,1.5335298016264215e-7,unnormalised,03_CDK9,0.37930890986237176,0.3539737906482312,0.40645735052163756,-1.3985548343459409,-1.4982855523803655,-1.298824116311516,Nuclear periphery
