siRNA,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
SBF2 - scrambled,17,4,0.24354334355617957,unnormalised,03_CDK9,NA,0.937832308431415,0.8553538217984077,1.0282638790209166,-0.09259811396160898,-0.2254067727102283,0.04021054478701023
SBF2 - scrambled,17 - Nucleus (combined),4,9.69665198508844e-6,relative_to_Nucleus (combined),03_CDK9,4,0.7449433526865425,0.7297396927450607,0.7604637711624913,-0.42479737119900973,-0.45454616645423984,-0.3950485759437795
SBF2 - scrambled,Nucleus (combined),4,0.010836206069818756,unnormalised,03_CDK9,NA,1.2584428313938025,1.1385060519019845,1.3910144414610377,0.3316396791623736,0.18714196035971362,0.4761373979650333
SBF2 - scrambled,7,4,0.021841960934535797,unnormalised,03_CDK9,NA,0.9258263812630797,0.8882570516942989,0.9649847266708625,-0.11118642232544113,-0.1709508580192833,-0.05142198663159918
SBF2 - scrambled,7 - Nucleus (combined),4,0.004772819928419464,relative_to_Nucleus (combined),03_CDK9,4,0.7356920458894984,0.661629996157596,0.8180445105698554,-0.4428261014878147,-0.595903451782628,-0.28974875119300114
SBF2 - scrambled,Nucleus (combined),4,0.016329986830058527,unnormalised,03_CDK9,NA,1.259430611509424,1.1243657563630027,1.410720182672396,0.3327716387939593,0.16911142083944922,0.4964318567484696
SBF2 - scrambled,16,4,0.1304569072779091,unnormalised,03_CDK9,NA,0.9245615223865298,0.8526478960628624,1.0025404538319245,-0.1131587719168359,-0.22997799633948704,0.0036604525058152506
SBF2 - scrambled,16 - Nucleus (combined),4,3.941827699713619e-4,relative_to_Nucleus (combined),03_CDK9,4,0.7341107274488472,0.6946220271867204,0.7758443283725721,-0.44593041071079526,-0.5256999340821631,-0.3661608873394274
SBF2 - scrambled,Nucleus (combined),4,0.011318929634970637,unnormalised,03_CDK9,NA,1.2592056105139027,1.1374379669237065,1.3940090059047976,0.332513874041385,0.18578786640855668,0.4792398816742131
SBF2 - scrambled,8,4,0.02468406586935212,unnormalised,03_CDK9,NA,1.1761662837949496,1.0742695885219593,1.28772809164163,0.23409203963644917,0.10335608384290557,0.36482799542999267
SBF2 - scrambled,8 - Nucleus (combined),4,0.014158029072719278,relative_to_Nucleus (combined),03_CDK9,4,0.9340541957361012,0.9045014300991474,0.9645725385714204,-0.0984218344049358,-0.14480531100677543,-0.052038357803096104
SBF2 - scrambled,Nucleus (combined),4,0.011304740545504571,unnormalised,03_CDK9,NA,1.2594988704263608,1.1376282672648612,1.3944250949558634,0.33284982820076203,0.18602921793931917,0.4796704384622047
SBF2 - scrambled,1,4,0.04725508974900155,unnormalised,03_CDK9,NA,1.1329868977019584,1.0391910585658273,1.2352486097560038,0.18013117737227938,0.055460922678420635,0.3048014320661383
SBF2 - scrambled,1 - Nucleus (combined),4,6.846920350129683e-4,relative_to_Nucleus (combined),03_CDK9,4,0.8995537227583413,0.8801248556674625,0.9194114845384274,-0.15271865082848235,-0.1842198940067147,-0.1212174076502501
SBF2 - scrambled,Nucleus (combined),4,0.011148647842689098,unnormalised,03_CDK9,NA,1.2594114706703823,1.1380516246809076,1.3937129195706375,0.33274971253366703,0.18656600314699404,0.47893342192034
