siRNA,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
SBF2 - scrambled,Nucleus (combined),4,2.356035701828838e-6,unnormalised,NA,NA,1.8003721629259977,1.7491227895369383,1.8531231451720698,0.8482951632825075,0.806631570927903,0.8899587556371124
SBF2 - scrambled,17,4,3.429424235047217e-5,unnormalised,NA,NA,4.5291146018873105,3.916459651778899,5.237607661223236,2.1792290449041887,1.9695500954896599,2.3889079943187177
SBF2 - scrambled,17 - Nucleus (combined),4,1.4567837288727013e-4,relative_to_Nucleus (combined),NA,4,2.5156546491623764,2.213457639374746,2.8591097481494825,1.330933881621681,1.1463017637458006,1.5155659994975608
SBF2 - scrambled,Nucleus (combined),4,1.7147408507046885e-6,unnormalised,NA,NA,1.797042982174438,1.7498965761566143,1.8454596253198063,0.8456249160422422,0.8072696572146244,0.88398017486986
SBF2 - scrambled,7,4,0.006293111037428198,unnormalised,NA,NA,1.3017659378745523,1.179729684808881,1.4364261396753284,0.3804700701441952,0.23845632817928555,0.5224838121091049
SBF2 - scrambled,7 - Nucleus (combined),4,0.0026741317730566575,relative_to_Nucleus (combined),NA,4,0.7243933232467283,0.6586050432441259,0.7967532167377147,-0.465154845898047,-0.6025145355270853,-0.3277951562690087
SBF2 - scrambled,Nucleus (combined),4,1.3675560924250803e-6,unnormalised,NA,NA,1.7974065996013031,1.7528002904272346,1.8431480767856687,0.8459168044375994,0.8096616284856706,0.8821719803895283
SBF2 - scrambled,16,4,0.019630985265513205,unnormalised,NA,NA,5.24268567980326,2.2146949634318265,12.410627012319136,2.390306053048157,1.1471080057558203,3.633504100340493
SBF2 - scrambled,16 - Nucleus (combined),4,0.07138187837635304,relative_to_Nucleus (combined),NA,4,2.9168056248186587,1.2334412732002455,6.8975761050218685,1.5443892486105573,0.3026890274501903,2.786089469770924
SBF2 - scrambled,Nucleus (combined),4,7.5983457817284235e-6,unnormalised,NA,NA,1.801868662936788,1.7333167849194113,1.8731317360574462,0.8494938578578182,0.7935353488237276,0.905452366891909
SBF2 - scrambled,8,4,0.1939164765276737,unnormalised,NA,NA,0.9070561843304052,0.8023893208720985,1.0253762109368616,-0.14073617881447759,-0.31762568986871115,0.03615333223975573
SBF2 - scrambled,8 - Nucleus (combined),4,5.94753261808889e-4,relative_to_Nucleus (combined),NA,4,0.5033975022641404,0.43916255314276204,0.5770278988322519,-0.9902300366722957,-1.1871730521527797,-0.7932870211918122
SBF2 - scrambled,Nucleus (combined),4,1.5907970896416065e-6,unnormalised,NA,NA,1.7986761859680236,1.7522830510005956,1.8462976173404628,0.8469354828944455,0.8092358361786168,0.8846351296102742
SBF2 - scrambled,1,4,1.5420774545007865e-5,unnormalised,NA,NA,2.236023003308353,2.0988298157219223,2.382184031249983,1.1609350301257266,1.0695851899897877,1.252284870261666
SBF2 - scrambled,1 - Nucleus (combined),4,0.002115042412996617,relative_to_Nucleus (combined),NA,4,1.2431492787596758,1.1703310099760358,1.3204983172344953,0.3139995472312812,0.22691663144221827,0.4010824630203444
SBF2 - scrambled,Nucleus (combined),4,1.874349217935764e-6,unnormalised,NA,NA,1.7971924777024102,1.7489869756743808,1.8467266176551895,0.8457449284673448,0.8065195458633708,0.8849703110713191
SBF2 - scrambled,18,4,5.941082448867367e-5,unnormalised,NA,NA,2.3532718402427717,2.1408816434871203,2.586732606600033,1.2346679843606096,1.0982050399672159,1.3711309287540034
SBF2 - scrambled,18 - Nucleus (combined),4,0.004502891640075863,relative_to_Nucleus (combined),NA,4,1.3094155853864198,1.1946726669646481,1.4351790433183125,0.3889230558932647,0.2566153826942291,0.5212307290923005
SBF2 - scrambled,Cytoplasm (combined),4,2.3246120365573447e-4,unnormalised,NA,NA,2.3236287975042176,2.0368080727955293,2.650839252213095,1.2163796148812138,1.0263100424189726,1.406449187343455
SBF2 - scrambled,0,4,0.006963319756154169,unnormalised,NA,NA,1.8625205251267216,1.4668313421221688,2.364949948164794,0.8972563242783556,0.5527029978878355,1.2418096506688754
SBF2 - scrambled,0 - Cytoplasm (combined),4,0.08992133485241852,relative_to_Cytoplasm (combined),NA,4,0.8015568266012338,0.659756097346484,0.9738346471599524,-0.3191232906028582,-0.5999953161476617,-0.038251265058054804
SBF2 - scrambled,Cytoplasm (combined),4,4.0985187804882465e-4,unnormalised,NA,NA,2.317230351648516,1.9907879319308042,2.6972016539166663,1.2124014670177574,0.9933395465999666,1.431463387435548
SBF2 - scrambled,10,4,0.03615104960868,unnormalised,NA,NA,2.207469076456445,1.3384694258512428,3.6406656957534755,1.1423932278826125,0.420584184420176,1.8642022713450492
SBF2 - scrambled,10 - Cytoplasm (combined),4,0.8544672773763025,relative_to_Cytoplasm (combined),NA,4,0.9526325576074104,0.5857851737967211,1.5492177515038292,-0.0700082391351449,-0.7715564157715328,0.631539937501243
SBF2 - scrambled,Cytoplasm (combined),4,2.942976955849043e-4,unnormalised,NA,NA,2.3240648355835445,2.020516243941415,2.673216499096148,1.2166503168793192,1.0147239501155423,1.4185766836430962
SBF2 - scrambled,11,4,4.0102271362853974e-4,unnormalised,NA,NA,3.9585621459501934,3.091536920207937,5.0687456329312806,1.9849765006086237,1.628324234866592,2.341628766350656
SBF2 - scrambled,11 - Cytoplasm (combined),4,0.0114898478022745,relative_to_Cytoplasm (combined),NA,4,1.703292475038136,1.345188620669327,2.156727473711443,0.7683261837293047,0.42780847986371706,1.108843887594892
SBF2 - scrambled,Cytoplasm (combined),4,2.943561272658327e-4,unnormalised,NA,NA,2.3122674999893156,2.011944194810283,2.6574201239269444,1.2093083089908792,1.008590289742347,1.410026328239411
SBF2 - scrambled,12,4,0.0016839927910627468,unnormalised,NA,NA,2.194584670987831,1.7874892078881301,2.6943949406133636,1.1339479330172202,0.8379345315283546,1.429961334506086
SBF2 - scrambled,12 - Cytoplasm (combined),4,0.6426968601025178,relative_to_Cytoplasm (combined),NA,4,0.949105010989417,0.7736815381541126,1.164303757375929,-0.0753603759736587,-0.3701882466966846,0.21946749474936714
SBF2 - scrambled,Cytoplasm (combined),4,2.853747297583446e-4,unnormalised,NA,NA,2.321011771161891,2.020517010798504,2.666196628427835,1.2147538394225172,1.0147244976690268,1.4147831811760077
SBF2 - scrambled,13,4,0.270652120556989,unnormalised,NA,NA,1.2044740459100214,0.9053169004672695,1.6024860758945996,0.26840330661887324,-0.14350520798999267,0.6803118212277395
SBF2 - scrambled,13 - Cytoplasm (combined),4,0.016904180947645214,relative_to_Cytoplasm (combined),NA,4,0.5189435318146041,0.3745814832113643,0.7189420761096627,-0.9463505328036439,-1.4166485106812283,-0.47605255492605925
SBF2 - scrambled,Cytoplasm (combined),4,3.0012194343278343e-4,unnormalised,NA,NA,2.3128078328491677,2.0109426868623554,2.659986337071871,1.2096453999503927,1.0078719645086358,1.4114188353921493
SBF2 - scrambled,14,4,0.001133916538003182,unnormalised,NA,NA,7.620213155811728,4.726027371059397,12.286777875133122,2.9298313539563208,2.2406279847872796,3.6190347231253623
SBF2 - scrambled,14 - Cytoplasm (combined),4,0.006857268599261101,relative_to_Cytoplasm (combined),NA,4,3.294788718535392,2.0884992418648007,5.1978150061932515,1.7201859540059279,1.0624666197956107,2.3779052882162452
SBF2 - scrambled,Cytoplasm (combined),4,4.2274121658415715e-4,unnormalised,NA,NA,2.312830289842405,1.9852847337659678,2.694416502899016,1.209659408219919,0.989345936603986,1.429972879835852
SBF2 - scrambled,15,4,0.36570880705867576,unnormalised,NA,NA,1.906502293698667,0.5512701800696441,6.593411229715138,0.9309282667606982,-0.8591685312402992,2.7210250647616956
SBF2 - scrambled,15 - Cytoplasm (combined),4,0.7743501357651725,relative_to_Cytoplasm (combined),NA,4,0.8243156889079722,0.23985544340304282,2.8329411471309753,-0.2787311414592206,-2.0597629137116766,1.5023006307932354
SBF2 - scrambled,Cytoplasm (combined),4,4.069791228157714e-4,unnormalised,NA,NA,2.3129046032802987,1.9882866163667359,2.6905214066423535,1.2097057626396195,0.9915257399011939,1.4278857853780451
SBF2 - scrambled,19,4,0.1204480035610476,unnormalised,NA,NA,0.7520927825888452,0.5663002806340278,0.9988403201724347,-0.41101744266027945,-0.820360850124167,-0.0016740351963917212
SBF2 - scrambled,19 - Cytoplasm (combined),4,0.00161413428001057,relative_to_Cytoplasm (combined),NA,4,0.32517241805917224,0.2433166630203778,0.4345658047167678,-1.620723205299899,-2.039092971348816,-1.2023534392509818
SBF2 - scrambled,Cytoplasm (combined),4,1.911078936570436e-4,unnormalised,NA,NA,2.3182817684533017,2.04590931118195,2.6269152442725257,1.2130559249489992,1.0327421963013228,1.3933696535966753
SBF2 - scrambled,2,4,3.38960854642215e-4,unnormalised,NA,NA,2.5020894199501766,2.136782351701816,2.9298498559951818,1.3231333496210143,1.095439965502819,1.5508267337392094
SBF2 - scrambled,2 - Cytoplasm (combined),4,0.19062170153165653,relative_to_Cytoplasm (combined),NA,4,1.0792861566691727,0.9814588693810571,1.1868644161444228,0.1100774246720153,-0.02700028586462464,0.2471551352086548
SBF2 - scrambled,Cytoplasm (combined),4,2.240894944354435e-4,unnormalised,NA,NA,2.312281316633869,2.030889406808879,2.6326617635251734,1.2093169295959885,1.0221116790271927,1.3965221801647842
SBF2 - scrambled,3,4,1.1644281976674317e-4,unnormalised,NA,NA,9.84775480055752,7.297218132476447,13.289759583902192,3.299794840577077,2.867346580241819,3.732243100912336
SBF2 - scrambled,3 - Cytoplasm (combined),4,4.8790463213465023e-4,relative_to_Cytoplasm (combined),NA,4,4.258891307781489,3.238730485145564,5.600390416765881,2.0904779109810887,1.695428417524308,2.48552740443787
SBF2 - scrambled,Cytoplasm (combined),4,4.040293607091753e-4,unnormalised,NA,NA,2.3128923500710967,1.988839703319436,2.6897446858532468,1.2096981195699696,0.9919270023931772,1.427469236746762
SBF2 - scrambled,4,4,0.6597706605210829,unnormalised,NA,NA,0.9040519549280241,0.5960934250238651,1.3711104717795881,-0.14552240967701824,-0.7463896345760692,0.4553448152220328
SBF2 - scrambled,4 - Cytoplasm (combined),4,0.012501903271951753,relative_to_Cytoplasm (combined),NA,4,0.3908750681371894,0.2550997052165532,0.5989160934606148,-1.3552205292469879,-1.9708668630691355,-0.7395741954248405
SBF2 - scrambled,Cytoplasm (combined),4,1.9034759486032164e-4,unnormalised,NA,NA,2.3142373750788243,2.043128897406189,2.6213199935701246,1.2105368516040542,1.0307802240332724,1.390293479174836
SBF2 - scrambled,5,4,5.8701149210168485e-5,unnormalised,NA,NA,4.057294762417202,3.4770775626120947,4.734332350288883,2.0205181181295635,1.7978752493916148,2.243160986867512
SBF2 - scrambled,5 - Cytoplasm (combined),4,5.171962200579401e-4,relative_to_Cytoplasm (combined),NA,4,1.7531886772328218,1.5741753187242076,1.9525592234976925,0.8099812665255093,0.6545962253236406,0.9653663077273777
SBF2 - scrambled,Cytoplasm (combined),4,3.7313112735975237e-4,unnormalised,NA,NA,2.301015645074807,1.9864806472744663,2.66535342599161,1.202270792773261,0.9902147384463206,1.414326847100201
SBF2 - scrambled,6,4,0.09293861489910732,unnormalised,NA,NA,1.265684912049734,1.0257695778180442,1.5617135965349382,0.339918295444651,0.03670668974247536,0.6431299011468268
SBF2 - scrambled,6 - Cytoplasm (combined),4,0.004196665224918087,relative_to_Cytoplasm (combined),NA,4,0.5500548919599311,0.45059289658427687,0.6714717130754012,-0.8623524973286099,-1.150103524641618,-0.5746014700156016
SBF2 - scrambled,Cytoplasm (combined),4,2.2601156518927307e-4,unnormalised,NA,NA,2.3121764492567456,2.0302366973838573,2.6332692830282003,1.2092514985108271,1.0216479354080243,1.3968550616136297
SBF2 - scrambled,9,4,2.973388338875625e-4,unnormalised,NA,NA,2.3446610710989084,2.034681183825873,2.7018658166335836,1.2293793912334674,1.0248027549107626,1.433956027556172
SBF2 - scrambled,9 - Cytoplasm (combined),4,0.8281514097111142,relative_to_Cytoplasm (combined),NA,4,1.0140493697410529,0.9011598114194277,1.1410807619711147,0.02012789272264033,-0.15014511904007846,0.19040090448535923
