treatment,reference_level,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl,cluster
AZD4573 (1h),Unperturbed,7,4.962535297440917e-6,unnormalised,01_CDK9_pT186,0.3405376645132136,0.28742193273423616,0.4034692128361043,-1.5541137213157352,-1.7987579390086097,-1.3094695036228616,Nuclear speckles
AZD4573 (1h),Unperturbed,7,2.498735497319006e-4,unnormalised,01_CDK9_pT186,0.5398557184411703,0.4521446079966727,0.6445818253256197,-0.8893542100233697,-1.1451438357996953,-0.6335645842470443,Nucleolus
AZD4573 (1h),Unperturbed,7,2.99213738452152e-5,unnormalised,01_CDK9_pT186,0.40850690644077003,0.33962954654930577,0.4913526938551605,-1.2915676253202686,-1.557966121255769,-1.0251691293847682,Nucleoplasm
AZD4573 (1h),Unperturbed,7,1.2640503356219101e-5,unnormalised,01_CDK9_pT186,0.39167690595794596,0.33055108269261824,0.46410617509139246,-1.352264028233024,-1.597054854765441,-1.1074732017006075,PML bodies
AZD4573 (1h),Unperturbed,7,0.05285452599763056,unnormalised,01_PABPC1,0.8047072522954885,0.6701254625521187,0.9663172019024598,-0.31346406007704436,-0.5774968690831113,-0.04943125107097724,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.02547655119837824,unnormalised,01_PABPC1,0.780166519737773,0.6568540840614058,0.9266286277103339,-0.35814600737426666,-0.6063551742350933,-0.10993684051344017,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.05101887471028709,unnormalised,01_PABPC1,0.8046107233733161,0.671231616271555,0.964493329088685,-0.31363712941398453,-0.5751174238594079,-0.0521568349685613,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.01758704795428835,unnormalised,01_PABPC1,0.7748998196999323,0.6591380096470789,0.9109924200737506,-0.3679182863897922,-0.6013475280035163,-0.13448904477606793,Nucleolus
AZD4573 (1h),Unperturbed,7,0.03375493317303514,unnormalised,01_PABPC1,0.7840694644534699,0.6542141032094084,0.9396998965208339,-0.35094661965006724,-0.6121652342576196,-0.08972800504251467,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.040080768495882275,unnormalised,01_PABPC1,0.7940775022264592,0.66349344112735,0.9503621896711165,-0.3326482731348154,-0.5918458907837034,-0.07345065548592741,PML bodies
