treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
TSA (1h) - Unperturbed,all,7,0.7931956733231179,unnormalised,NA,NA,1.004519475445082,0.9724474677519565,1.0376492407154325,0.006505535057432794,-0.04030777801296602,0.05331884812783181
TSA (1h) - Unperturbed,0,7,0.5031011636858425,unnormalised,NA,NA,1.1018964443999164,0.8416337232199712,1.4426415442764267,0.13998864662168356,-0.24873558209711483,0.5287128753404817
TSA (1h) - Unperturbed,0 - all,7,0.5270557846512091,relative_to_all,NA,7,1.0969388561746787,0.8352903619190412,1.440546795513531,0.13348311156425072,-0.2596503034288116,0.5266165265573128
TSA (1h) - Unperturbed,all,7,0.7940366146242908,unnormalised,NA,NA,1.0045239092236664,0.9722882490824807,1.0378283242178687,0.006511902854589473,-0.04054400958252527,0.05356781529170406
TSA (1h) - Unperturbed,1,7,0.35188562548980584,unnormalised,NA,NA,1.0281557370144232,0.9735479444414398,1.0858265641577327,0.04005880927991126,-0.038676065603134996,0.11879368416295757
TSA (1h) - Unperturbed,1 - all,7,0.4546705118255121,relative_to_all,NA,7,1.0235254010121277,0.9662499627966078,1.0841958984246334,0.03354690642532203,-0.049531641397769124,0.11662545424841297
TSA (1h) - Unperturbed,all,7,0.7905601524051211,unnormalised,NA,NA,1.0045880814856356,0.9724506508987861,1.037787585961551,0.006604063973098738,-0.04030305559578482,0.05351118354198266
TSA (1h) - Unperturbed,2,7,0.8509730712497025,unnormalised,NA,NA,0.9453310770054746,0.5371642808936707,1.6636453259058466,-0.08110841158191175,-0.8965647199262674,0.7343478967624439
TSA (1h) - Unperturbed,2 - all,7,0.8339611564225923,relative_to_all,NA,7,0.941013629792891,0.5441888868917987,1.6272045842642464,-0.0877124755550105,-0.8778205998760227,0.7023956487660019
TSA (1h) - Unperturbed,all,7,0.7838437650761674,unnormalised,NA,NA,1.0047542753278578,0.972517221016039,1.038059925288417,0.00684271621843057,-0.040204297791651994,0.05388973022851285
TSA (1h) - Unperturbed,3,7,0.4377838243672314,unnormalised,NA,NA,1.0371793418042978,0.9507929029553024,1.1314146158663199,0.052665376466495474,-0.07279696033798161,0.17812771327097274
TSA (1h) - Unperturbed,3 - all,7,0.5342299978329372,relative_to_all,NA,7,1.0322716382230468,0.9384928412053395,1.1354212715262961,0.04582266024806508,-0.09158235462284413,0.1832276751189744
TSA (1h) - Unperturbed,all,7,0.790937624289018,unnormalised,NA,NA,1.004590499740443,0.9723775769233056,1.0378705722132788,0.006607536839324453,-0.04041146975862474,0.05362654343727357
