treatment,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
TSA (1h) - Unperturbed,all,7,0.9727807815047067,unnormalised,01_CDK9_pT186,NA,1.0031860452362233,0.841017428215941,1.1966247161982637,0.004589184862914001,-0.24979239745071774,0.25897076717654594
TSA (1h) - Unperturbed,Cajal bodies,7,0.8936779737583371,unnormalised,01_CDK9_pT186,NA,0.9879834279053733,0.8327174423202336,1.1721998413962296,-0.017441252145476458,-0.26410105153725827,0.22921854724630505
TSA (1h) - Unperturbed,Cajal bodies - all,7,0.2504246109741493,relative_to_all,01_CDK9_pT186,7,0.9848456650657752,0.9616009621536589,1.0086522603165413,-0.022030437008390573,-0.05648975531328707,0.012428881296505705
TSA (1h) - Unperturbed,all,7,0.9741612485651447,unnormalised,01_CDK9_pT186,NA,1.003023271097783,0.8409237176888358,1.1963697315241673,0.004355078241121302,-0.24995315897700887,0.2586633154592517
TSA (1h) - Unperturbed,Nuclear periphery,7,0.332704132223079,unnormalised,01_CDK9_pT186,NA,1.079278670831455,0.9348047259000208,1.2460810445627704,0.11006741822623736,-0.09726306721154325,0.317397903664018
TSA (1h) - Unperturbed,Nuclear periphery - all,7,0.017208006488688338,relative_to_all,01_CDK9_pT186,7,1.0760255538739518,1.027385586067738,1.1269683050754868,0.10571233998511606,0.038977738331803506,0.1724469416384283
TSA (1h) - Unperturbed,all,7,0.971033984527819,unnormalised,01_CDK9_pT186,NA,1.0033774553099477,0.8417679551985245,1.1960140696812671,0.0048644279488176114,-0.2485055053273447,0.2582343612249796
TSA (1h) - Unperturbed,Nuclear speckles,7,0.7517263919905066,unnormalised,01_CDK9_pT186,NA,0.9732495152110903,0.8281090575508616,1.143828352342886,-0.03911837394077867,-0.27210731940051985,0.1938705715189625
TSA (1h) - Unperturbed,Nuclear speckles - all,7,0.02488803103820582,relative_to_all,01_CDK9_pT186,7,0.969973473153679,0.9498095344055415,0.990565481331645,-0.043982801889596225,-0.07428985651533486,-0.013675747263857523
TSA (1h) - Unperturbed,all,7,0.9727637353457144,unnormalised,01_CDK9_pT186,NA,1.003187948283207,0.841023498617779,1.1966206190845612,0.004591921657205215,-0.2497819842217788,0.2589658275361894
TSA (1h) - Unperturbed,Nucleolus,7,0.5715068114132698,unnormalised,01_CDK9_pT186,NA,1.0593619189719106,0.8756703308595695,1.2815869578066392,0.08319555392367706,-0.1915402633612944,0.3579313712086486
TSA (1h) - Unperturbed,Nucleolus - all,7,0.012298482921603885,relative_to_all,01_CDK9_pT186,7,1.0559954600579444,1.0228371475187754,1.0902286980562763,0.07860363226647166,0.03257646261038167,0.12463080192256197
TSA (1h) - Unperturbed,all,7,0.9726183060788731,unnormalised,01_CDK9_pT186,NA,1.0032046626247633,0.8410533697591115,1.196617992744404,0.00461595852570698,-0.24973074405757376,0.2589626611089877
TSA (1h) - Unperturbed,Nucleoplasm,7,0.836797984300525,unnormalised,01_CDK9_pT186,NA,1.02182365300967,0.8383464144068867,1.245456007095495,0.03114623650967442,-0.2543815895340393,0.31667406255338776
TSA (1h) - Unperturbed,Nucleoplasm - all,7,0.3142245002029174,relative_to_all,01_CDK9_pT186,7,1.0185595134059608,0.9852539387628687,1.0529909514012963,0.02653027798396737,-0.021432483031434746,0.07449303899936933
TSA (1h) - Unperturbed,all,7,0.9717856048409741,unnormalised,01_CDK9_pT186,NA,1.0033029121062895,0.8411096062178414,1.196772365931408,0.004757242856417892,-0.2496342824645942,0.25914876817743004
TSA (1h) - Unperturbed,PML bodies,7,0.9778633489861599,unnormalised,01_CDK9_pT186,NA,1.0026208184629926,0.8387925671178085,1.1984470833707497,0.0037760957275040307,-0.2536140177039169,0.26116620915892536
TSA (1h) - Unperturbed,PML bodies - all,7,0.9344118575252669,relative_to_all,01_CDK9_pT186,7,0.9993201518354363,0.9838256406000435,1.015058689927333,-9.81147128913702e-4,-0.023525439618269663,0.021563145360442088
TSA (1h) - Unperturbed,all,7,0.41312241854433884,unnormalised,01_PABPC1,NA,1.086499070416018,0.9012885869463635,1.3097694202635266,0.11968694018254179,-0.1499389729838777,0.38931285334896165
TSA (1h) - Unperturbed,Cajal bodies,7,0.46240158535871334,unnormalised,01_PABPC1,NA,1.0725085079607832,0.898983122996768,1.2795284696934195,0.10098909233474627,-0.15363406323820455,0.35561224790769735
TSA (1h) - Unperturbed,Cajal bodies - all,7,0.08758965214385624,relative_to_all,01_PABPC1,7,0.9871232632993622,0.9745689311942892,0.9998393194750058,-0.018697847847795566,-0.03716386407310235,-2.3183162248877968e-4
TSA (1h) - Unperturbed,all,7,0.4129604225638387,unnormalised,01_PABPC1,NA,1.0865135973380657,0.90133490836533,1.3097371312750907,0.11970622945656118,-0.14986482807051285,0.38927728698363484
TSA (1h) - Unperturbed,Nuclear periphery,7,0.43500688003132826,unnormalised,01_PABPC1,NA,1.066442651894889,0.9158061760702368,1.2418565843930052,0.09280638663359604,-0.1268858005071992,0.31249857377439116
TSA (1h) - Unperturbed,Nuclear periphery - all,7,0.6903275322373835,relative_to_all,01_PABPC1,7,0.9815272027038133,0.8988559460357521,1.0718020544854396,-0.026899842822965144,-0.15383817224266358,0.10003848659673323
TSA (1h) - Unperturbed,all,7,0.41302679708520373,unnormalised,01_PABPC1,NA,1.0865230650249038,0.9012999114432986,1.3098108141835536,0.11971880079057191,-0.14992084594536212,0.38935844752650633
TSA (1h) - Unperturbed,Nuclear speckles,7,0.47061473660051245,unnormalised,01_PABPC1,NA,1.0704314965220942,0.8986472075355815,1.275053857774506,0.09819247177185972,-0.15417324369975027,0.3505581872434698
TSA (1h) - Unperturbed,Nuclear speckles - all,7,0.18760024836691724,relative_to_all,01_PABPC1,7,0.9851898509835676,0.9656556056500978,1.0051192545271856,-0.021526329018712365,-0.05041934124070697,0.007366683203282413
TSA (1h) - Unperturbed,all,7,0.4134973924732229,unnormalised,01_PABPC1,NA,1.0864297129251848,0.901218534620077,1.309704001620746,0.11959484171261056,-0.15005111028705725,0.38924079371227865
TSA (1h) - Unperturbed,Nucleolus,7,0.49653165700996926,unnormalised,01_PABPC1,NA,1.0575334268462668,0.9076006487523016,1.2322346292222965,0.08070326522057474,-0.13987045463934888,0.30127698508049805
TSA (1h) - Unperturbed,Nucleolus - all,7,0.3075423988160408,relative_to_all,01_PABPC1,7,0.9734025259663457,0.9277698640968914,1.0212796451197395,-0.038891576492036097,-0.10816110968697094,0.030377956702898605
TSA (1h) - Unperturbed,all,7,0.41302437352401555,unnormalised,01_PABPC1,NA,1.0865290709399855,0.9012945915191697,1.3098330258565622,0.1197267754762787,-0.149929361480216,0.3893829124327737
TSA (1h) - Unperturbed,Nucleoplasm,7,0.4813289640741071,unnormalised,01_PABPC1,NA,1.0674150564827962,0.8987782341527965,1.2676930298386289,0.09412126659800357,-0.15396290790853348,0.34220544110454076
TSA (1h) - Unperturbed,Nucleoplasm - all,7,0.1620263354154718,relative_to_all,01_PABPC1,7,0.982408188636266,0.9607851867868173,1.0045178280977545,-0.025605508878275236,-0.0577141868849728,0.006503169128422191
TSA (1h) - Unperturbed,all,7,0.4131141049837034,unnormalised,01_PABPC1,NA,1.086499338833577,0.9012914600484179,1.3097658921814082,0.11968729659760377,-0.1499343740090996,0.38930896720430697
TSA (1h) - Unperturbed,PML bodies,7,0.5027156110548772,unnormalised,01_PABPC1,NA,1.0644514479396232,0.8951016390268992,1.265841593422342,0.09011014667683814,-0.15987658480702507,0.3400968781607009
TSA (1h) - Unperturbed,PML bodies - all,7,0.06053949956044032,relative_to_all,01_PABPC1,7,0.9797074051442832,0.962249713654774,0.997481824181557,-0.02957714992076569,-0.055516758166809864,-0.0036375416747214465
TSA (1h) - Unperturbed,all,7,0.9028627973603796,unnormalised,02_CDK7,NA,0.9948593408630984,0.9185282588972646,1.0775336507238142,-0.007435531627245736,-0.1226039877654341,0.10773292451094242
TSA (1h) - Unperturbed,Cajal bodies,7,0.7286516319309068,unnormalised,02_CDK7,NA,0.9866334092896102,0.9171452042197207,1.06138644115205,-0.019413954321256383,-0.12477793268779326,0.08595002404528039
TSA (1h) - Unperturbed,Cajal bodies - all,7,0.40668568621202167,relative_to_all,02_CDK7,7,0.9917315632113866,0.9736158929500929,1.0101843042943381,-0.011978422694010643,-0.03857537661679808,0.014618531228776738
TSA (1h) - Unperturbed,all,7,0.9005384619741293,unnormalised,02_CDK7,NA,0.9947329683264139,0.9183709218421731,1.0774444777613812,-0.007618802372093638,-0.12285113185702484,0.10761352711283761
TSA (1h) - Unperturbed,Nuclear periphery,7,0.15347835177139488,unnormalised,02_CDK7,NA,1.067727638095418,0.9853990284373588,1.1569346795081519,0.09454368327935166,-0.021220045674139217,0.21030741223284274
TSA (1h) - Unperturbed,Nuclear periphery - all,7,0.021073288609093507,relative_to_all,02_CDK7,7,1.0733811707194283,1.024230087558383,1.1248909318818814,0.10216248565144556,0.034539845114994146,0.16978512618789685
TSA (1h) - Unperturbed,all,7,0.9036240709731835,unnormalised,02_CDK7,NA,0.9949071274438331,0.9186784576741864,1.077460981010171,-0.007366235592601998,-0.12236809593122636,0.10763562474602249
TSA (1h) - Unperturbed,Nuclear speckles,7,0.4226837710758947,unnormalised,02_CDK7,NA,0.9661705867938662,0.8925844483348352,1.0458232882357203,-0.04965016152591565,-0.16393942442314405,0.06463910137131267
TSA (1h) - Unperturbed,Nuclear speckles - all,7,0.010344087061752062,relative_to_all,02_CDK7,7,0.9711163586456574,0.9551922916412144,0.9873058967098871,-0.04228392593331371,-0.06613690072168942,-0.01843095114493772
TSA (1h) - Unperturbed,all,7,0.9031618598780966,unnormalised,02_CDK7,NA,0.9948651204987163,0.9183886845621555,1.077709933302145,-0.007427150314349246,-0.1228232281640834,0.10796892753538467
TSA (1h) - Unperturbed,Nucleolus,7,0.7086074257311029,unnormalised,02_CDK7,NA,1.0196482666328521,0.9245046736610272,1.1245833766640139,0.028071572297500028,-0.113247481963631,0.16939062655863138
TSA (1h) - Unperturbed,Nucleolus - all,7,0.07686443139281862,relative_to_all,02_CDK7,7,1.0249110614328427,1.0013436995776632,1.0490330985159655,0.03549872261184956,0.0019372474691202596,0.06906019775457864
TSA (1h) - Unperturbed,all,7,0.9025914819825012,unnormalised,02_CDK7,NA,0.9948456045687308,0.9185251740701177,1.0775075140773127,-0.007455451448835385,-0.12260883298631559,0.10769793008864464
TSA (1h) - Unperturbed,Nucleoplasm,7,0.7578584859193157,unnormalised,02_CDK7,NA,1.0152091221487465,0.9257233981240204,1.1133450486210472,0.021776937667968545,-0.11134690762896718,0.15490078296490437
TSA (1h) - Unperturbed,Nucleoplasm - all,7,0.2002762504993646,relative_to_all,02_CDK7,7,1.020469023018746,0.992205847279011,1.0495372807937118,0.029232389116804043,-0.011288635524565327,0.06975341375817326
TSA (1h) - Unperturbed,all,7,0.904446483029287,unnormalised,02_CDK7,NA,0.9949445025740014,0.9186223583715339,1.0776077396560155,-0.007312039677550662,-0.12245619711210257,0.10783211775700118
TSA (1h) - Unperturbed,PML bodies,7,0.9306594120081689,unnormalised,02_CDK7,NA,0.9964440892179113,0.9222198688259693,1.0766421940153206,-0.005139237611287805,-0.11681734656551131,0.10653887134293569
TSA (1h) - Unperturbed,PML bodies - all,7,0.8598322108362574,relative_to_all,02_CDK7,7,1.001507206321589,0.9854997923452028,1.0177746277624131,0.002172802066262722,-0.021072527609040343,0.025418131741566107
TSA (1h) - Unperturbed,all,7,0.15623741119563142,unnormalised,03_CDK9,NA,1.0640664270010143,0.9855750002541915,1.148808929587994,0.08958821748717295,-0.02096243328101817,0.2001388682553638
TSA (1h) - Unperturbed,Cajal bodies,7,0.14441679222909126,unnormalised,03_CDK9,NA,1.0607227940094892,0.9886852375985553,1.1380091488613333,0.08504767608239414,-0.016416803866191487,0.18651215603097943
TSA (1h) - Unperturbed,Cajal bodies - all,7,0.774664150828593,relative_to_all,03_CDK9,7,0.9968576839690838,0.9764062970050605,1.0177374369012855,-0.004540541404778725,-0.034446495560308,0.025365412750750334
TSA (1h) - Unperturbed,all,7,0.15665621686233755,unnormalised,03_CDK9,NA,1.0640626112644782,0.985487263778458,1.1489029663862913,0.08958304398116937,-0.02109086857282932,0.20025695653516778
TSA (1h) - Unperturbed,Nuclear periphery,7,2.775134333573831e-4,unnormalised,03_CDK9,NA,1.173547294952058,1.1198724370754767,1.2297947586654208,0.23087598486736105,0.16333440649738928,0.29841756323733265
TSA (1h) - Unperturbed,Nuclear periphery - all,7,0.008969248739925368,relative_to_all,03_CDK9,7,1.1028930840427462,1.0453245345434972,1.1636320727519527,0.1412929408861919,0.06395091521421627,0.21863496655816717
TSA (1h) - Unperturbed,all,7,0.1585711238009391,unnormalised,03_CDK9,NA,1.0640617114695001,0.9850827746086579,1.14937277861264,0.08958182400568312,-0.021683138338624872,0.20084678634999156
TSA (1h) - Unperturbed,Nuclear speckles,7,0.4439352505654629,unnormalised,03_CDK9,NA,1.0330545424071398,0.9549950163838432,1.1174945096876636,0.046916426500171665,-0.0664348903851279,0.16026774338547148
TSA (1h) - Unperturbed,Nuclear speckles - all,7,0.04661891485783202,relative_to_all,03_CDK9,7,0.9708596139414333,0.9478094412590701,0.9944703533765195,-0.04266539750551164,-0.07733106296327151,-0.007999732047751755
TSA (1h) - Unperturbed,all,7,0.15695900282112552,unnormalised,03_CDK9,NA,1.0640596775951212,0.9854238895707724,1.148970518643508,0.08957906639937803,-0.0211836476461268,0.20034178044488288
TSA (1h) - Unperturbed,Nucleolus,7,0.16150429978075231,unnormalised,03_CDK9,NA,1.0883635474362015,0.9788734680794826,1.2101004368950072,0.12216054231975569,-0.030805709799967447,0.2751267944394789
TSA (1h) - Unperturbed,Nucleolus - all,7,0.35690732804828246,relative_to_all,03_CDK9,7,1.0228407018448529,0.9779459589957227,1.0697964358121008,0.03258147592037792,-0.03217335040820576,0.09733630224896132
