well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
I09,5307818.524196739,457.85472632525307,373506,373535
I09,3921690.244893823,262.5075727533479,373507,373536
I09,3395124.0175050506,311.59480640090555,373508,373537
I09,5135693.93554522,295.01827016173866,373509,373538
I09,5146149.332622855,280.37822831920874,373510,373539
I09,4868707.948770909,276.24888704713186,373511,373540
I09,6770906.071896356,352.84655841155507,373513,373542
I09,4122190.6578886253,243.99227679208036,373514,373543
I09,7251051.258456426,260.9508045079369,373515,373544
I09,10457574.484841457,236.5892998369799,373517,373546
I09,4582613.109536791,348.65158259463885,373518,373547
I09,5350943.446249843,298.0068292989889,373519,373548
I09,5179255.436892129,279.51073847562867,373520,373549
I09,5160728.263214807,252.65287839197586,373521,373550
I09,6456536.776688094,264.1914409635318,373522,373551
I09,5932003.405943985,216.1624712874116,373523,373552
I09,3743440.188925177,150.03631188579956,228047,228068
I09,6560500.28586297,305.210657747961,228048,228069
I09,6581748.669623046,258.68858667804176,228051,228072
I09,9760909.023454608,262.55314444731226,228052,228073
I09,4366897.743475075,268.7943737703069,228054,228075
I09,4156739.5231518806,365.64815046663296,228055,228076
I09,7355373.399406597,247.5972228037624,228056,228077
I09,4161790.741921682,215.53415349410827,228058,228079
I09,7359204.721214205,340.51449428605247,228059,228080
I09,3530373.2087387824,304.29381216326766,228060,228081
I09,5295703.906232177,325.29058641707786,228062,228083
I09,5072610.240319941,288.63978085660034,228063,228084
I09,8177460.443531705,233.36960682535607,324083,324142
I09,3357632.724905812,223.6951555798658,324084,324143
I09,7835533.406973706,272.199450966472,324085,324144
I09,2840963.270712033,224.005137486862,324087,324146
I09,4644043.4390878,282.29444993081,324092,324151
I09,6326820.578440673,348.5141450822693,324093,324152
I09,5663645.835604562,154.43320015207658,324094,324153
I09,3131948.4933432536,219.46379733681889,324101,324160
I09,4367914.903698987,291.2637681024116,290971,291037
I09,4626354.841648323,274.1211320422995,290973,291039
I09,6317190.766347799,249.04942641762548,290974,291040
I09,3143764.861413055,282.4615052024042,290975,291041
I09,5830105.506009574,296.76263367662864,290976,291042
I09,9467017.602615723,282.3049543221261,290977,291043
I09,9455184.583784927,158.12071142039403,290978,291044
I09,5458488.515817389,207.21182026289284,290980,291046
I09,5554933.38301335,292.20520779852086,290981,291047
I09,7346783.436486686,215.15525468284446,290982,291048
I09,5520150.675194571,290.08590203768955,290983,291049
I09,7534196.717289528,258.46758142067057,290984,291050
I09,6426486.178549264,200.45667402377597,290988,291054
I09,4236757.22528535,243.62254216563912,290989,291055
I09,5297160.207405429,241.05559619228777,290990,291056
I09,5101118.355874213,330.42722841091523,290991,291057
I09,3211965.09762435,183.90677928451268,290992,291058
I09,5621901.46291095,293.08516214029447,290993,291059
I09,4528283.689136635,279.002233732751,290994,291060
I09,5761246.741349664,317.51922698335545,290995,291061
I09,3081605.55788614,153.98253146235584,290998,291064
I09,7401378.354185798,303.4771608058551,290999,291065
I09,6993073.882307063,311.87498719829824,291000,291066
I09,5838560.982013749,309.7339774032348,291001,291067
I09,3973311.995390499,251.5664827605978,291003,291069
I09,6147467.546787596,370.55746430428445,291005,291071
I09,4200810.793950815,260.89142639626886,291006,291072
I09,5280200.583941862,354.5705135423632,291007,291073
I09,6766040.939103838,137.4979791162462,291008,291074
I09,3099280.79812174,220.2751473165924,291009,291075
I09,4523215.819605838,269.2594880362673,383748,383784
I09,10190675.960306223,113.13003448106556,383749,383785
I09,7695574.063107498,126.14680780105026,383750,383786
I09,7349955.497944095,276.11165945948443,383751,383787
I09,3275596.072257745,292.34171125571896,383752,383788
I09,5236307.531178202,276.231545444291,383753,383789
I09,4791985.999462246,212.43540764262644,383755,383791
I09,10539326.244798636,260.50322169551663,383756,383792
I09,5953657.9950822,248.8141363242479,383757,383793
I09,5312934.150305777,284.7798814650549,383758,383794
I09,6298259.582997084,242.92589518387695,383760,383796
I09,5381730.154405011,281.97022003216136,383764,383800
I09,6596818.340225886,258.63851429839923,383765,383801
I09,4446550.409694404,227.3685617317939,383767,383803
I09,4154182.8079497353,306.84035542690066,383768,383804
I09,10151610.713354386,208.2241313318672,383769,383805
I09,6385399.053476499,167.44753476570307,383770,383806
I09,5455385.619059499,262.1215012635413,332616,332644
I09,5514319.981239689,326.5474760667575,332617,332645
I09,7599445.560370456,373.522717297873,332618,332646
I09,4385293.357842991,242.0751122449857,332619,332647
I09,3929199.006201376,205.4019061947415,332620,332648
I09,5735038.260566778,218.09241102478492,332622,332650
I09,9808230.486204855,269.7060387667715,332624,332652
I09,4434450.978687673,293.6495511826191,332625,332653
I09,3944636.091398499,200.9283820709468,332626,332654
I09,4682901.374916469,183.5640228786174,332630,332658
I09,3782700.48764868,253.55001745713062,383246,383300
I09,7033668.254639586,260.2711966517739,383247,383301
I09,4688212.235772566,265.9280673474797,383249,383303
I09,3372233.429569835,176.00784391975535,383250,383304
I09,6285659.531308102,226.6443731918531,383253,383307
I09,5932638.879492761,269.50990402260067,383254,383308
I09,7041769.307302563,328.5751012338165,383255,383309
I09,3984410.0020573353,229.18343044939064,383256,383310
I09,5449222.8247616785,278.0975707142909,383258,383312
I09,4795352.929715927,357.4153095637609,383259,383313
I09,5761983.58326758,321.5090087449026,383260,383314
I09,3493333.499415783,180.4647629326753,383261,383315
I09,3187787.09480598,216.59754242580905,383262,383316
I09,4780923.124071356,320.668342479912,383263,383317
I09,5222678.791815389,282.2163721863817,383264,383318
I09,8410169.832431355,297.848312033673,383267,383321
I09,5144792.753040181,225.56036198342986,383268,383322
I09,3408897.4904057514,240.78801075501855,383270,383324
I09,4887163.945019357,307.35972192942677,383271,383325
I09,5723183.467663907,312.80947276595134,383274,383328
I09,6921050.375205563,302.07060966776993,383275,383329
I09,2940130.9947693064,290.7685818902935,383277,383331
I09,4642994.258169664,294.7677104551925,383279,383333
I09,5712846.272691804,302.48873391107685,383281,383335
I09,11601575.631635305,282.7347246746151,383282,383336
I09,4407033.945417118,325.1190508338824,383283,383337
I09,6861276.155959761,206.2531257479037,383285,383339
I09,4105561.305014041,254.7632649441696,383287,383341
I09,13120131.255621642,250.35861566518685,345862,345899
I09,6251926.553333645,276.64935560037196,345863,345900
I09,6649157.171297755,298.78112314696284,345864,345901
I09,5203158.793641763,200.01336692030344,345866,345903
I09,5476034.3924483275,268.2556650251071,345867,345904
I09,13452882.259067753,160.02314780161979,345868,345905
I09,7478043.03219565,239.69862252918594,345869,345906
I09,5179532.27866561,286.60809892058865,345870,345907
I09,3645666.371431272,188.23290241350574,345871,345908
I09,3817461.421395389,188.6814521178966,345872,345909
I09,5601553.50107242,278.9632738109758,345875,345912
I09,5044911.4249402275,213.3580230460601,345876,345913
I09,4492800.73447905,228.93715273043117,345877,345914
I09,4643469.811222723,182.623836630396,345878,345915
I09,6028290.365373578,250.85225622612117,345879,345916
I09,5388315.2559157815,269.3159693021749,345882,345919
I09,6758392.933520266,244.55360749686525,345884,345921
I09,5726198.902182719,236.86066003445174,345885,345922
I09,7614877.522256502,312.06956332409754,345886,345923
I09,3803728.020106316,208.50868256478915,345887,345924
I09,3312100.76152413,239.98721470124374,345888,345925
I09,3071791.123619149,186.52249425489418,271168,271260
I09,4837879.339250158,333.631211533775,271169,271261
I09,4516653.590019512,303.03698547657797,271170,271262
I09,6051271.343154199,312.61492973319895,271171,271263
I09,9906676.73827744,223.38647412218722,271172,271264
I09,4664946.182325663,192.77978382241074,271174,271266
I09,5295472.808307585,297.1719625254985,271175,271267
I09,3124165.4519177577,253.27084709923923,271177,271269
I09,2286490.916820377,241.1915225133201,271178,271270
I09,9962515.705690958,241.727217085006,271179,271271
I09,5670565.233163018,219.7921777140112,271180,271272
I09,5365682.2973375125,280.5621377345196,271182,271274
I09,3747252.298316253,224.2636817218881,271183,271275
I09,2503874.4695634036,250.35712116926487,271184,271276
I09,3767751.9467577008,239.26509679614824,271187,271279
I09,5015628.774536554,304.4778376770896,271188,271280
I09,7530496.954791325,308.6051055811473,271189,271281
