well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
K18,15754050.609225893,168.8190386654698,237595,237610
K18,13259761.547651207,272.4430299764186,237596,237611
K18,8849393.530333681,217.59002740570412,237597,237612
K18,15300565.783685872,210.5251688059322,237599,237614
K18,17422484.810935013,163.35569959845927,237600,237615
K18,9988115.713945419,327.55668014356456,237601,237616
K18,5790774.268105988,416.9290982131247,237602,237617
K18,3579643.2194945836,355.9108509270212,237603,237618
K18,14376342.833084047,154.09106743918613,348521,348529
K18,12887793.896314394,170.24841154748742,348522,348530
K18,12540200.61960614,380.2529335137535,348523,348531
K18,20511071.270299964,147.62490635004508,310204,310217
K18,18443727.01632931,136.15088006704366,310205,310218
K18,5197717.534473496,389.38688566465714,310206,310219
K18,6415743.484815773,367.45940851077967,310208,310221
K18,15613634.599961057,216.89794169142698,310209,310222
K18,10231373.991677554,303.03686772469104,310971,310985
K18,14610579.904967597,257.74001644456047,310973,310987
K18,12715925.184235198,330.8390811035453,310974,310988
K18,12749240.89018391,179.85861395116456,310978,310992
K18,16421834.178695662,279.4812181185205,206073,206155
K18,15755068.708428802,107.36535344002014,348315,348326
K19,7697859.37547031,416.7414765055098,281778,281833
K19,7158662.000842819,426.9524280688936,281779,281834
K19,20383272.958956584,327.7612318490904,281780,281835
K19,5683270.019960813,209.77927281717845,281782,281837
K19,6224366.278439098,391.4474210439465,281783,281838
K19,6270039.37051009,222.58253667973636,281784,281839
K19,6622813.715793145,289.94369103575673,281785,281840
K19,12951809.001612427,142.2396541252144,281786,281841
K19,6325141.5308909435,331.97872927904433,281787,281842
K19,6770880.227723249,224.5123099348082,281790,281845
K19,11624217.642102825,745.3492553025263,281791,281846
K19,5791010.902745547,207.54950254484942,281792,281847
K19,6485454.809748217,445.8637336855604,281793,281848
K19,7524440.403695001,386.9466441143304,281794,281849
K19,12603564.939837387,135.89262027689642,281795,281850
K19,8336656.270787909,367.91465560204415,281798,281853
K19,11980541.61657728,164.52251006550526,281799,281854
K19,9543334.143031068,635.5890539768131,281801,281856
K19,4363270.489382936,411.26114215578684,281802,281857
K19,8636288.008626338,576.1622807859279,281803,281858
K19,9070649.593781818,440.4222112941935,281804,281859
K19,7885787.037148953,448.2742372407623,281805,281860
K19,9299118.250105241,197.47740613916116,281808,281863
K19,9661976.73375887,652.793806771174,281810,281865
K19,9821073.314590937,324.6316897410432,281811,281866
K19,16608592.672995672,297.7551192516527,281812,281867
K19,8355132.445770088,462.1503401635527,281813,281868
K19,8649283.677865325,691.729394977026,281815,281870
K19,7777536.026845231,318.30870311569066,281816,281871
K19,12557075.44865857,335.3655098921828,281820,281875
K19,9559769.417782404,396.8530202582142,239926,240001
K19,7712313.833843902,678.9342310566954,239927,240002
K19,9218876.06921692,424.1929900877525,239928,240003
K19,5198138.164170809,223.31598414012387,239930,240005
K19,7689053.189442716,314.4892851616797,239931,240006
K19,4552941.363111167,214.14738690224237,239932,240007
K19,4863643.941037587,280.0135961057155,239933,240008
K19,12893777.363238212,382.4077994807993,239935,240010
K19,7927383.790926724,277.96420518983047,239936,240011
K19,5828645.048380598,223.27656802639223,239937,240012
K19,10799196.501357371,444.04824564326935,239938,240013
K19,7378256.389110303,370.4266536745462,239939,240014
K19,5392042.803690475,229.33241519322644,239941,240016
K19,4589196.311209224,188.41383898145338,239942,240017
K19,5914634.796034485,191.86474636356252,239944,240019
K19,9281453.792372204,356.4687383038912,239945,240020
K19,6065610.107748769,179.28353066797877,239946,240021
K19,6683260.412937944,204.40022276818524,239947,240022
K19,6584462.660547277,256.08220663699916,239948,240023
K19,6768851.617371449,397.0231348254028,239949,240024
